params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,570,19430,1048,18952,0.987719298245614,0.9933206106870228,0.0297066272688898,0.0535769428718476,all,563.0,1041.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,562,9356,528,9390,1.0,1.0,0.0598509052183173,0.0564343736639589,fn>=0,562.0,528.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,140,10132,515,9757,0.95,0.9864077669902912,0.0136312391103822,0.0501381760757994,fn<0_inferred,133.0,508.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,430,9298,533,9195,1.0,1.0,0.0467645459488852,0.0573241557324155,fn>=0_inferred,430.0,533.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,8,10074,520,9562,0.125,0.9865384615384616,0.000104580631667,0.0509231685527099,fn<0,1.0,513.0,10.0,0.05
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1392,8147,551,8988,1.0,1.0,0.1548731642189586,0.0676322572726156,fn>=0_inferred,1392.0,551.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,227,10234,535,9926,0.9823788546255506,0.9925233644859812,0.0224662502518637,0.0518858706273206,fn<0_inferred,223.0,531.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,4,10078,542,9540,0.0,0.992619926199262,0.0,0.0533836078587021,fn<0,0.0,538.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1619,18381,1086,18914,0.9975293390982088,0.996316758747698,0.0853864862006979,0.05886513247375,all,1615.0,1082.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1615,8303,544,9374,1.0,1.0,0.1722850437379987,0.0655184872937492,fn>=0,1615.0,544.0,10.0,0.15
