params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2176,17824,5215,14785,0.5505514705882353,0.812464046021093,0.08102806898884,0.2377131956912028,all,1198.0,4237.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1931,8151,2581,7501,0.5121698601760746,0.6350251840371949,0.1318490867884282,0.2010796221322537,fn<0,989.0,1639.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,245,9673,2634,7284,0.8530612244897959,0.9863325740318908,0.0286930258099945,0.2685826527447534,fn>=0,209.0,2598.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1510,10844,5120,7234,0.3781456953642384,0.8166015625,0.0789328172518661,0.3855588343784581,fn<0_inferred,571.0,4181.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,666,6980,95,7551,0.9414414414414416,0.5894736842105263,0.0830353595550258,0.0080229226361031,fn>=0_inferred,627.0,56.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1962,7956,2607,7311,0.5081549439347605,0.6298427311085539,0.1363698536451921,0.206385118149824,fn>=0,997.0,1642.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1374,9022,2682,7714,0.4104803493449782,0.697986577181208,0.0731138190303344,0.207492795389049,fn>=0_inferred,564.0,1872.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1942,7662,2615,6989,0.5087538619979403,0.6351816443594647,0.1413650021462298,0.2167841294701122,fn<0_inferred,988.0,1661.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1354,8728,2690,7392,0.4098966026587888,0.7029739776951673,0.0750811688311688,0.2166590284142988,fn<0,555.0,1891.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,3316,16684,5297,14703,0.4680337756332931,0.666981310175571,0.1055566891110657,0.211759769839367,all,1552.0,3533.0,1.0,0.025
