params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,number_of_notes,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,-0.017991661781011,0.1179867612237288,-0.0095521919674695,0.4065764003009683,-0.1455791718058535,0.1084087141439984,0.2926790351550231,0.3692947581741888,7551,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.1415748629719812,3.2721153992316357e-11,-0.0745805497637628,0.0004979522184143,0.5549723803630515,0.4458454286213235,0.0901985008089154,0.4385028486578125,2176,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.1605127445983019,3.5902554585675204e-103,0.0622695543627012,8.730832150349957e-17,0.2138655754759481,0.1599092295862506,0.3077487139690922,0.3949012790208315,17824,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,-0.0017665801648209,0.898510619739272,0.00607766080267,0.6608087410748069,0.7452314893576222,0.2830429936579098,0.2724211143260383,0.2298148745344966,5215,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.1621676923730281,1.1377729261561788e-87,0.0268929081701683,0.0010742585654103,0.0766437402741494,0.1585601994521022,0.2881913361065275,0.4595480571693811,14785,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.2558145135575993,5.952039198844427e-122,0.0286158357214826,0.0097760057199417,0.1584910203863329,0.1390321237839774,0.232401712211682,0.3904646697716845,8151,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.0108485467715206,0.5817064499029243,-0.0147662450094011,0.4533420112817489,0.7409338384347153,0.336296361123983,0.0976013100892251,0.2292856347827973,2581,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.2791589229672386,2.5155116564044007e-134,-0.11890816793665,4.976568558539784e-25,0.0739105192053059,0.1501298973699773,0.2363455677866191,0.459328553880016,7501,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,-0.2801705980475707,8.490383469366024e-06,-0.1395831168106689,0.0289363558957952,0.1335802664489796,0.4461437771836734,0.2687396273057142,0.4067347590204082,245,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2165853087170841,6.22509045291804e-22,-0.0554692032562075,0.0147773623092601,0.6084374595494563,0.4458075749715173,0.0675456908701709,0.4425334970064215,1931,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0011150665091628,0.9543851889271444,0.0342863649434183,0.0785190484576158,0.7494426651480639,0.2308611631985573,0.4437232839293849,0.2303334651947608,2634,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,-0.0170443125923275,0.1544930119738427,0.0607120580795396,3.853665402529828e-07,-0.1720253016355301,0.0793125848698183,0.3054133682902306,0.3520535817827077,6980,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.0859392765105961,2.5217518233895117e-17,0.1042134237571549,9.021202712798946e-25,0.2605272108047451,0.1775014232587751,0.3712402275971963,0.3986398091552052,9673,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.0942727749124403,0.0149434282547262,-0.2367064411061959,6.197897742816203e-10,0.2343189461111111,0.4446470852252252,0.1216042331733783,0.5223024480591592,666,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.265376172523073,7.328006800498747e-117,0.0874474274985658,9.288138823867867e-14,0.3086046483631877,0.2109093652748134,0.2835069822891111,0.5537563320812828,7234,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,-0.5091852339429586,1.3697339865349516e-07,-0.1716942668363386,0.0961736232068142,0.5746119894736843,0.3278168489473684,0.0289930053021052,0.1751864450252631,95,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.1427864339449356,1.7065710424612806e-50,0.063605471128397,3.3688215013408416e-11,0.4622534694484784,0.2117871879153448,0.309251915079241,0.4224812243105865,10844,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.1798671349350109,1.9070455870445146e-12,-0.0249548914719979,0.332513778177953,0.6963996566622518,0.4463739694834436,0.0763467009713443,0.4015422306437086,1510,1.0,0.0
