params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2639,6881,2014,7506,0.4649488442591891,0.2989076464746772,0.1634692246203037,0.0874872838250254,fn>=0_inferred,1227.0,602.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2850,7068,2558,7360,0.4943859649122807,0.4366692728694292,0.1914402173913043,0.158036219581211,fn>=0,1409.0,1117.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1327,8755,2685,7397,0.5486058779201206,0.7769087523277467,0.0984182776801406,0.238263849229012,fn<0,728.0,2086.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,4177,15823,5243,14757,0.5116112042135504,0.6109097844745375,0.1448126312936233,0.2024268469948808,all,2137.0,3203.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1538,8942,3229,7251,0.5916775032509753,0.805512542582843,0.1254999310439939,0.2908745247148289,fn<0_inferred,910.0,2601.0,10.0,0.05
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,718,9364,2765,7317,1.0,1.0,0.0981276479431461,0.295279794959419,fn<0,718.0,2765.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1531,11129,4381,8279,0.6440235140431091,0.8755991782698014,0.1190965092402464,0.3446850570581364,fn<0_inferred,986.0,3836.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,3389,16611,5354,14646,0.5818825612275007,0.7353380649981323,0.1346442714734398,0.2370116188068147,all,1972.0,3937.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1858,5482,973,6367,0.5306781485468245,0.1038026721479958,0.1548610020417779,0.0184239328712148,fn>=0_inferred,986.0,101.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,2671,7247,2589,7329,0.4694870834893298,0.4526844341444573,0.1711011051985264,0.1617220919000966,fn>=0,1254.0,1172.0,10.0,0.15
