params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,659,8353,84,8928,0.9666160849772384,0.7380952380952381,0.0713485663082437,0.0074224829402609,fn>=0_inferred,637.0,62.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2635,8353,5131,5857,0.3920303605313093,0.687780159812902,0.1763701553696431,0.4224829402609841,fn<0_inferred,1033.0,3529.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1116,8802,2634,7284,0.5806451612903226,0.8223234624145785,0.0889621087314662,0.2460804362644853,fn>=0,648.0,2166.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,3294,16706,5215,14785,0.5069823922282939,0.6885906040268457,0.1129523165370307,0.2149527116006225,all,1670.0,3591.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2178,7904,2581,7501,0.4692378328741965,0.5521115846571096,0.1362485001999733,0.1802884615384615,fn<0,1022.0,1425.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2933,17067,5291,14709,0.5799522673031027,0.7671517671517671,0.1156434835814807,0.2378273861838636,all,1701.0,4059.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2203,7879,2654,7428,0.4675442578302315,0.5580256217030897,0.1386645126548196,0.1879680162457164,fn<0,1030.0,1481.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,600,8296,219,8677,0.9866666666666668,0.9634703196347032,0.0682263455111213,0.025433944069431,fn>=0_inferred,592.0,211.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,730,9188,2637,7281,0.9191780821917808,0.9776260902540768,0.092157670649636,0.2805833696125381,fn>=0,671.0,2578.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2333,8771,5072,6032,0.4753536219459923,0.7586750788643533,0.1838527851458886,0.4387185041614411,fn<0_inferred,1109.0,3848.0,1.0,0.025
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,1929,8153,2658,7424,0.447900466562986,0.5993227990970654,0.1163793103448275,0.1953882006623329,fn<0,864.0,1593.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,2209,7015,2504,6720,0.4422815753734722,0.5079872204472844,0.1453869047619047,0.1813257305773342,fn>=0_inferred,977.0,1272.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,2267,8509,2750,8026,0.5302161446846052,0.6127272727272727,0.1497632693745327,0.1980256199318368,fn<0_inferred,1202.0,1685.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,4476,15524,5254,14746,0.4868185880250223,0.5628092881614009,0.1477688864776888,0.1904792579232156,all,2179.0,2957.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,2547,7371,2596,7322,0.5162936788378485,0.5254237288135594,0.1795957388691614,0.1850495183828517,fn>=0,1315.0,1364.0,1.0,0.05
1-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.075000-notes/run_0,765,10066,2811,8020,1.0,1.0,0.0953865336658354,0.279256904430757,fn<0_inferred,765.0,2811.0,1.0,0.075
1-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.075000-notes/run_0,3214,16786,5300,14700,0.6356565028002489,0.7790566037735849,0.1389795918367347,0.2459787918503514,all,2043.0,4129.0,1.0,0.075
1-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.075000-notes/run_0,2277,7805,2632,7450,0.4857268335529205,0.5550911854103343,0.1484563758389261,0.1871877001921845,fn<0,1106.0,1461.0,1.0,0.075
1-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.075000-notes/run_0,937,8981,2668,7250,1.0,1.0,0.1292413793103448,0.2970715955906914,fn>=0,937.0,2668.0,1.0,0.075
1-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.075000-notes/run_0,2449,6720,2489,6680,0.5218456512862393,0.5295299316994777,0.191317365269461,0.1961309523809523,fn>=0_inferred,1278.0,1318.0,1.0,0.075
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2117,7965,2638,7444,0.4718941898913557,0.576194086429113,0.13420204191295,0.1908349026993094,fn<0,999.0,1520.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,3208,16792,5244,14756,0.6514962593516209,0.7868039664378337,0.1416373000813228,0.2457122439256789,all,2090.0,4126.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2266,7188,2593,6861,0.5083848190644307,0.5703817971461628,0.1679055531263664,0.2057595993322203,fn>=0_inferred,1152.0,1479.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,1091,8827,2606,7312,1.0,1.0,0.149206783369803,0.295230542653223,fn>=0,1091.0,2606.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,942,9604,2651,7895,0.9957537154989384,0.998491135420596,0.1188093730208993,0.2756143273635985,fn<0_inferred,938.0,2647.0,1.0,0.1
1-r_fun-0.125000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.125000-notes/run_0,3159,16841,5320,14680,0.636593858816081,0.7842105263157895,0.1369891008174387,0.2477287571996912,all,2011.0,4172.0,1.0,0.125
1-r_fun-0.125000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.125000-notes/run_0,2006,8076,2707,7375,0.427716849451645,0.5759142962689324,0.1163389830508474,0.1930411094601287,fn<0,858.0,1559.0,1.0,0.125
1-r_fun-0.125000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.125000-notes/run_0,1153,8765,2613,7305,1.0,1.0,0.1578370978781656,0.2981175128351397,fn>=0,1153.0,2613.0,1.0,0.125
1-r_fun-0.125000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.125000-notes/run_0,2607,9067,5269,6405,0.5596471039509014,0.7821218447523249,0.2277907884465261,0.4545053490680489,fn<0_inferred,1459.0,4121.0,1.0,0.125
1-r_fun-0.125000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.125000-notes/run_0,552,7774,51,8275,1.0,1.0,0.0667069486404833,0.0065603293028042,fn>=0_inferred,552.0,51.0,1.0,0.125
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.175000-notes/run_0,2291,7791,2690,7392,0.4133566128328241,0.5003717472118959,0.1281114718614718,0.1727634450006417,fn<0,947.0,1346.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.175000-notes/run_0,1195,8723,2639,7279,1.0,1.0,0.1641709025965105,0.3025335320417288,fn>=0,1195.0,2639.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.175000-notes/run_0,2379,5325,1789,5915,0.4754098360655737,0.3024035774175517,0.1912087912087912,0.1015962441314554,fn>=0_inferred,1131.0,541.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.175000-notes/run_0,3486,16514,5329,14671,0.6144578313253012,0.7477950835053481,0.1460023174971031,0.2413104032941746,all,2142.0,3985.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.175000-notes/run_0,1107,11189,3540,8756,0.913279132791328,0.9728813559322034,0.1154636820465966,0.307802305836089,fn<0_inferred,1011.0,3444.0,1.0,0.175
1-r_fun-0.225000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.225000-notes/run_0,1317,8601,2610,7308,1.0,1.0,0.1802134646962233,0.3034530868503662,fn>=0,1317.0,2610.0,1.0,0.225
1-r_fun-0.225000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.225000-notes/run_0,3706,16294,5239,14761,0.650296815974096,0.7526245466692116,0.1632680712688842,0.2419909169019271,all,2410.0,3943.0,1.0,0.225
1-r_fun-0.225000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.225000-notes/run_0,2389,7693,2629,7453,0.4575136040184177,0.5070368961582351,0.1466523547564739,0.1732744053035226,fn<0,1093.0,1333.0,1.0,0.225
1-r_fun-0.225000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.225000-notes/run_0,2309,6911,4456,4764,0.5374621048072759,0.7603231597845601,0.260495382031906,0.4902329619447258,fn<0_inferred,1241.0,3388.0,1.0,0.225
1-r_fun-0.225000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.225000-notes/run_0,1397,9383,783,9997,0.8367931281317108,0.7088122605363985,0.1169350805241572,0.0591495257380368,fn>=0_inferred,1169.0,555.0,1.0,0.225
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.250000-notes/run_0,1328,8590,2574,7344,1.0,1.0,0.1808278867102396,0.29965075669383,fn>=0,1328.0,2574.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.250000-notes/run_0,1225,8921,616,9530,0.9248979591836736,0.8506493506493507,0.1188877229800629,0.0587378096625938,fn>=0_inferred,1133.0,524.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.250000-notes/run_0,2356,7726,2647,7435,0.4792020373514431,0.5364563656970155,0.1518493611297915,0.1837949779963758,fn<0,1129.0,1420.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.250000-notes/run_0,3684,16316,5221,14779,0.6669381107491856,0.7649875502777246,0.1662494079437039,0.2447903898014219,all,2457.0,3994.0,1.0,0.25
