params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,number_of_notes,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,-0.1526747706355508,2.98013933994879e-07,-0.044189362019095,0.140136724708114,0.524990988234767,0.439672634874552,0.3174224815045699,0.4149441570519713,1116,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.0126723099920513,0.3602190976136772,-0.008311470888851,0.5484535918510405,0.7452314893576222,0.323476180959348,0.2752205018824928,0.2298148745344966,5215,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.3391103074239347,0.0,0.0503682811304669,8.908485430564701e-10,0.0766437402741494,0.1216164941725095,0.2532999255949254,0.4595480571693811,14785,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2105436566048679,3.02866157549296e-23,-0.2079595539219477,1.0493205816746249e-22,0.6484371854178145,0.4655719707116621,0.1056841342252112,0.4185689812775023,2178,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.395995547898619,4.802642545446444e-295,0.0371523778160294,0.0009544186750174,0.1334080024948127,0.0910177964306857,0.2269369402963295,0.3954411013165486,7904,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.0275735740331414,0.1613867088734163,-0.0840714851574162,1.897411915553661e-05,0.7409338384347153,0.3597549049926385,0.1293157890419217,0.2292856347827973,2581,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.4485259201628778,0.0,-0.0732839386378035,2.0912493753521636e-10,0.0739105192053059,0.1073047600869404,0.2253200331859084,0.459328553880016,7501,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.2782785149553615,2.905121962237094e-156,0.0539929165374099,4.0088333735359153e-07,0.2234625008548398,0.1432552913344028,0.3183573287246505,0.3967979107757668,8802,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0083333638953229,0.6690198737278856,0.0256582441859421,0.188027364145874,0.7494426651480639,0.2879274388447229,0.41818939476082,0.2303334651947608,2634,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_HIGH_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.3299860501990764,0.0,0.0440909103032652,1.1898739209616884e-08,0.1808556078201424,0.1185405086384265,0.2751042010976035,0.3961559724323177,16706,1.0,0.0
