params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/1-r_fun-0.175000-notes/run_0,1084,11354,2305,10133,0.2850553505535055,0.6637744034707158,0.0304944241586894,0.1347542716223357,fn>=0_inferred,309.0,1530.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/1-r_fun-0.175000-notes/run_0,650,6912,2830,4732,0.1692307692307692,0.8091872791519434,0.0232459847844463,0.3313078703703703,fn<0_inferred,110.0,2290.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/1-r_fun-0.175000-notes/run_0,430,9652,2594,7488,0.6790697674418604,0.9468003084040092,0.0389957264957264,0.2544550352258599,fn>=0,292.0,2456.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/1-r_fun-0.175000-notes/run_0,1304,8614,2541,7377,0.0973926380368098,0.5367965367965368,0.017215670326691,0.1583468771766891,fn<0,127.0,1364.0,1.0,0.175
1-r_fun-0.175000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/1-r_fun-0.175000-notes/run_0,1734,18266,5135,14865,0.2416378316032295,0.7439143135345667,0.0281870164816683,0.2091317201357714,all,419.0,3820.0,1.0,0.175
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2173,10467,4887,7753,0.1122871606074551,0.6052793124616329,0.0314716883786921,0.2826024648896532,fn<0_inferred,244.0,2958.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1463,8619,2635,7447,0.1141490088858509,0.5081593927893738,0.0224251376393178,0.1553544494720965,fn>=0,167.0,1339.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2575,17425,5280,14720,0.0994174757281553,0.5607954545454545,0.017391304347826,0.1699282639885222,all,256.0,2961.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1112,8806,2645,7273,0.0800359712230215,0.6132325141776938,0.0122370411109583,0.1841925959573018,fn<0,89.0,1622.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,402,6958,393,6967,0.0298507462686567,0.0076335877862595,0.001722405626525,0.0004311583788444,fn>=0_inferred,12.0,3.0,10.0,0.05
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1569,9604,4841,6332,0.1918419375398342,0.7380706465606279,0.0475363234365129,0.3720324864639733,fn<0_inferred,301.0,3573.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1862,18138,5210,14790,0.2056928034371643,0.7161228406909789,0.0258958755916159,0.2057007387804609,all,383.0,3731.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,145,9773,2571,7347,1.0,1.0,0.019735946644889,0.2630717282308401,fn<0,145.0,2571.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1717,8365,2639,7443,0.1386138613861386,0.4395604395604395,0.0319763536208518,0.1386730424387328,fn>=0,238.0,1160.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,293,8534,369,8458,0.2798634812286689,0.4281842818428184,0.0096949633483092,0.0185141785797984,fn>=0_inferred,82.0,158.0,10.0,0.15
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,1079,9743,4219,6603,0.2780352177942539,0.8153590898317137,0.0454338936846887,0.3530740018474802,fn<0_inferred,300.0,3440.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,732,8446,1037,8141,0.0846994535519125,0.3539054966248794,0.0076157720181795,0.0434525219038598,fn>=0_inferred,62.0,367.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,1696,8386,2647,7435,0.1462264150943396,0.4529656214582546,0.0333557498318762,0.1429763892201287,fn>=0,248.0,1199.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,115,9803,2609,7309,0.991304347826087,0.999616711383672,0.0155972089205089,0.2660410078547383,fn<0,114.0,2608.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,1811,18189,5256,14744,0.1998895637769188,0.7243150684931506,0.0245523602821486,0.2093023255813953,all,362.0,3807.0,11.0,0.1
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1844,8238,2642,7440,0.1691973969631236,0.4201362604087812,0.0419354838709677,0.1347414420975965,fn>=0,312.0,1110.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1970,18030,5223,14777,0.2223350253807106,0.7066819835343672,0.0296406577789808,0.20471436494731,all,438.0,3691.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,126,9792,2581,7337,1.0,1.0,0.0171732315660351,0.2635825163398693,fn<0,126.0,2581.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1119,9675,4177,6617,0.3074173369079535,0.8144601388556381,0.0519873054254193,0.3516279069767442,fn<0_inferred,344.0,3402.0,11.0,0.25
