params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1443,8475,2557,7361,0.1566181566181566,0.5240516229956981,0.0307023502241543,0.1581120943952802,fn<0,226.0,1340.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1195,8185,1790,7590,0.1723849372384937,0.4474860335195531,0.0271409749670619,0.0978619425778863,fn>=0_inferred,206.0,801.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2141,8479,3343,7277,0.1910322279308734,0.4819024827998803,0.0562044798680775,0.1899988206156386,fn<0_inferred,409.0,1611.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1893,8189,2576,7506,0.2054939249867934,0.4161490683229814,0.0518252065014654,0.1309073146904384,fn>=0,389.0,1072.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,3336,16664,5133,14867,0.1843525179856115,0.4699006428988895,0.041366785498083,0.1447431589054248,all,615.0,2412.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1725,8357,2591,7491,0.1547826086956521,0.4372829023543033,0.0356427713255907,0.1355749670934546,fn>=0,267.0,1133.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1876,8516,3298,7094,0.1465884861407249,0.5145542753183747,0.0387651536509726,0.1992719586660404,fn<0_inferred,275.0,1697.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1232,8376,1845,7763,0.1331168831168831,0.4211382113821138,0.0211258534071879,0.0927650429799426,fn>=0_inferred,164.0,777.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,3108,16892,5143,14857,0.1412483912483912,0.4810421932724091,0.029548361041933,0.146459862656879,all,439.0,2474.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1383,8535,2552,7366,0.1243673174258857,0.5254702194357367,0.0233505294596796,0.1571177504393673,fn<0,172.0,1341.0,1.0,0.025
