params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,490,6790,267,7013,0.5224489795918368,0.1235955056179775,0.0365036361043775,0.004860088365243,fn>=0_inferred,256.0,33.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1369,8713,547,9535,0.7136596055514974,0.283363802559415,0.102464604090194,0.0177895099276942,fn>=0,977.0,155.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,819,9099,538,9380,0.6336996336996337,0.4423791821561338,0.0553304904051172,0.0261567205187383,fn<0,519.0,238.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2188,17812,1085,18915,0.6837294332723949,0.3622119815668203,0.0790906687813904,0.0220637772288344,all,1496.0,393.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1698,11022,818,11902,0.7302709069493521,0.4400977995110024,0.1041841707276088,0.0326619488296135,fn<0_inferred,1240.0,360.0,10.0,0.05
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1106,8812,516,9402,0.705244122965642,0.3682170542635659,0.0829610721123165,0.0215615070358601,fn<0,780.0,190.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,684,9326,820,9190,0.8157894736842105,0.8463414634146341,0.0607181719260065,0.074415612266781,fn<0_inferred,558.0,694.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1211,18789,1062,18938,0.7308009909165979,0.6930320150659134,0.0467314394339423,0.0391718558731172,all,885.0,736.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,527,9463,242,9748,0.6204933586337761,0.1735537190082644,0.0335453426343865,0.0044383387931945,fn>=0_inferred,327.0,42.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,105,9977,546,9536,1.0,1.0,0.0110109060402684,0.0547258694998496,fn>=0,105.0,546.0,10.0,0.15
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,1388,8694,538,9544,0.7413544668587896,0.3327137546468401,0.1078164291701592,0.0205889118932597,fn>=0,1029.0,179.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,764,8858,383,9239,0.6780104712041884,0.3577023498694517,0.0560666738824548,0.0154662452020772,fn<0_inferred,518.0,137.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,1400,8978,689,9689,0.7235714285714285,0.4383164005805515,0.1045515533078749,0.0336377812430385,fn>=0_inferred,1013.0,302.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,776,9142,534,9384,0.6469072164948454,0.4868913857677903,0.0534953111679454,0.0284401662655874,fn<0,502.0,260.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,2164,17836,1072,18928,0.7074861367837338,0.4095149253731343,0.080885460693153,0.0246131419600807,all,1531.0,439.0,11.0,0.1
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,176,9104,86,9194,0.5397727272727273,0.0581395348837209,0.0103328257559277,0.00054920913884,fn>=0_inferred,95.0,5.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1300,8782,542,9540,0.71,0.3044280442804428,0.0967505241090146,0.0187884308813482,fn>=0,923.0,165.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1182,9538,1005,9715,0.7495769881556683,0.7054726368159204,0.0911991765311374,0.0743342419794506,fn<0_inferred,886.0,709.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1358,18642,1091,18909,0.7223858615611193,0.6544454628780935,0.0518800571156592,0.0383006115223688,all,981.0,714.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,58,9860,549,9369,1.0,1.0,0.0061906286690148,0.0556795131845841,fn<0,58.0,549.0,11.0,0.25
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,236,8801,143,8894,0.5296610169491526,0.2237762237762237,0.0140544187092421,0.0036359504601749,fn>=0_inferred,125.0,32.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,963,10000,901,10062,0.6998961578400831,0.6792452830188679,0.0669846948916716,0.0612,fn<0_inferred,674.0,612.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,238,9844,544,9538,0.634453781512605,0.8400735294117647,0.015831411197316,0.0464242177976432,fn>=0,151.0,457.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,961,8957,500,9418,0.6742976066597295,0.374,0.0688044170736886,0.0208775259573517,fn<0,648.0,187.0,13.0,0.2
