params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2942,17058,1067,18933,0.7658055744391571,0.3542642924086223,0.1189985739185549,0.0221596904678156,all,2253.0,378.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2035,8047,538,9544,0.8211302211302212,0.3234200743494423,0.1750838222967309,0.021622965080154,fn>=0,1671.0,174.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,907,9011,529,9389,0.6416758544652701,0.3856332703213611,0.0619874321013952,0.0226389967817112,fn<0,582.0,204.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1359,10499,485,11373,0.8020603384841796,0.445360824742268,0.0958410269937571,0.0205733879417087,fn<0_inferred,1090.0,216.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1583,6559,582,7560,0.7346809854706254,0.2783505154639175,0.1538359788359788,0.0246988870254612,fn>=0_inferred,1163.0,162.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2939,17061,1064,18936,0.7648860156515822,0.3505639097744361,0.1187156738487537,0.0218627278588593,all,2248.0,373.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1468,6088,561,6995,0.6995912806539509,0.213903743315508,0.146819156540386,0.0197109067017082,fn>=0_inferred,1027.0,120.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1471,10973,503,11941,0.8300475866757308,0.5029821073558648,0.1022527426513692,0.0230565934566663,fn<0_inferred,1221.0,253.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1046,8872,522,9396,0.6902485659655831,0.3793103448275862,0.076841209025117,0.022317403065825,fn<0,722.0,198.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1893,8189,542,9540,0.8061278394083465,0.3228782287822878,0.159958071278826,0.0213701306630846,fn>=0,1526.0,175.0,1.0,0.025
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,1151,6550,395,7306,0.6907037358818419,0.0987341772151898,0.1088146728716123,0.0059541984732824,fn>=0_inferred,795.0,39.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,1750,10549,678,11621,0.8034285714285714,0.4926253687315634,0.1209878667928749,0.0316617688880462,fn<0_inferred,1406.0,334.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,1989,8093,538,9544,0.8059326294620413,0.2825278810408922,0.1679589270746018,0.0187816631656987,fn>=0,1603.0,152.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,912,9006,535,9383,0.6557017543859649,0.4130841121495327,0.0637322817862091,0.0245391960914945,fn<0,598.0,221.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,2901,17099,1073,18927,0.7587038952085488,0.34762348555452,0.1162888994558038,0.0218141411778466,all,2201.0,373.0,1.0,0.05
