params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,number_of_notes,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2084171445804164,2.0860850038522727e-21,-0.0924565447457956,2.9513018661396423e-05,0.7972875081081081,0.5734342484176905,0.1856183510729681,0.8409337679950859,2035,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.0931964115485202,0.0023088899376059,0.135190645296623,9.37193080615062e-06,0.7608098856607309,0.4822368666166823,0.1764696365213496,0.3076181805351452,1067,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.5917287763142014,0.0,0.0851501648395097,8.238144636418015e-32,0.2238120960100565,0.073321826915811,0.2628728110853055,1.0707540108273386,18933,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2065212951724172,3.4093647059648026e-10,0.3537528801685467,3.9669963142318483e-28,0.9325430694597574,0.5524917588423375,0.1715425834276516,0.6437413211146636,907,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.3237861804514595,5.701144297576888e-219,0.0892786625969766,2.0544029066884448e-17,0.189320027126279,-0.0265813167449722,0.3120787841645626,1.0705548244439018,9011,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.1707446993205293,7.918352308242142e-05,0.2475397402907454,7.927888017110023e-09,0.7703173345935729,0.4618785268431001,0.159722473188431,0.3040979172419659,529,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.5169599471453308,0.0,0.0934006456310515,1.2027667221778765e-19,0.2283823046580999,0.0018374735734428,0.3070867886845324,1.0725077327824049,9389,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5839588334055104,0.0,0.0882971681543908,2.1053789521739946e-15,0.1087310990833229,0.0589318267759408,0.2261463455619643,1.0760371773878463,8047,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0333821772069959,0.439695055085878,-0.0419509711718613,0.3314437674167589,0.7514614832713755,0.5022546393680297,0.1929366428468401,0.3110795546654276,538,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.4490320037840916,0.0,0.0847428291214448,1.4493961126785772e-28,0.151302727093352,0.0137589497524358,0.2715407179531012,1.0731410886096846,17058,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6784131710615596,0.0,0.079460466495579,7.602156998137301e-15,0.2193161101554379,0.143645233614417,0.2193768936838869,1.0690287703164292,9544,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.4772930141764255,0.0,0.1195557912695079,9.890159614267726e-35,0.3578519310205257,0.0789352692421948,0.3688807491640445,1.0842615552166874,10499,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.0312567276731567,0.4922405296185971,0.2388979594728494,1.0100852041640692e-07,0.7399846474226803,0.4262620811546392,0.16951956375,0.3101037499402062,485,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.5698069051408023,0.0,0.1145260673575311,1.6281927336138322e-34,0.3925226938173305,0.1172711475102263,0.3558325851587394,1.086456350932032,11373,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.1086449399036867,1.4771872280074997e-05,-0.116484389679756,3.3725172917349544e-06,0.8858691825647504,0.604123968780796,0.1750476776036512,0.7404720571509791,1583,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.4386809081527716,1.052128003114806e-306,-0.0816807846297537,3.473751864013752e-11,-0.1793208576042232,-0.0905688713061065,0.1157284008798135,1.055340542961427,6559,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,0.1072309013905883,0.0096306193814237,0.0153059632813268,0.7125159945984537,0.7781642508591066,0.5288825211683849,0.1822613638308075,0.3055468726975945,582,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.6105222074606259,0.0,-0.095505031071012,8.674713097870819e-17,-0.0299902358500132,0.0072060037517522,0.1230273731835644,1.0471319587095238,7560,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.1686562078059648,3.9347336909199103e-10,0.1713317551231433,2.0528996472770183e-10,0.7843750750551877,0.5237089611626196,0.1885371552286902,0.8263475567704196,1359,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.1832712147933273,1.2270580561791549e-23,0.0648539216875148,0.0004317077880972,0.8389859425560844,0.5669778112848403,0.1812788808981542,0.7801405833178109,2942,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,unpublished,0.4235745387751021,1.1479113686539838e-263,-0.0403695326876857,0.0016299353432194,-0.2415252260727661,-0.1048252488529467,0.128153845313194,1.0603242897930354,6088,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,publishable,0.1008660200680342,0.0168564124400429,0.0319247587209561,0.4504543802147768,0.7679445436720144,0.5668037054795009,0.1301055990512477,0.2952635956684492,561,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,unpublished,0.4937243442456129,0.0,0.0663501525804938,4.1197660285080525e-18,0.1405769055113827,0.0117273994259943,0.2757075364652989,1.0731718857331924,17061,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,published,0.1920029017057864,8.421538392934497e-26,0.2390456052085416,1.8234789318372805e-39,0.8435638523307246,0.5715829198877169,0.1631154027352841,0.7758056381013951,2939,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,publishable,0.1533219539120318,5.032452741891361e-07,0.1435774234996262,2.573334378129052e-06,0.7304994229323308,0.4858047724802631,0.1488139995439379,0.3034072671428571,1064,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,unpublishable,0.6272465950132518,0.0,0.0766645808071065,4.3517173100524496e-26,0.2165380946836554,0.071982841425744,0.2653625027861593,1.0702710699532108,18936,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,published,0.2254146198536022,1.621789497702075e-13,0.3346001178900699,8.855458434880643e-29,0.9051348565965583,0.5502669057743785,0.1631045284026482,0.693609953040153,1046,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,unpublishable,0.607311228365615,0.0,0.0901481607856347,5.616521096492703e-23,0.3901729364593166,0.1168236354910501,0.3463659624581416,1.0838030106125114,11941,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,unpublished,0.3986309434484827,0.0,0.0472521346248974,8.483683988931786e-06,0.1714595703911406,-0.0257419756411226,0.3153132758912183,1.0679301922035618,8872,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,publishable,0.2879134291382197,2.017278937265912e-11,0.2339962484901392,6.350600157941261e-08,0.7246106551724137,0.4592489773659003,0.1633153760591954,0.3037100722796935,522,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,published,0.0922433345055154,0.0004019616894642,-0.0705745662599187,0.0068284145079669,0.9145318746594006,0.6295838199114441,0.1237990639285218,0.7052791769891008,1468,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,unpublishable,0.5726061677549085,0.0,0.0598467485936947,6.415317684482619e-09,0.2224045983940187,0.0114376766035504,0.3068131219788377,1.0687160513388676,9396,1.0,0.025
