params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,1822,10166,4644,7344,0.3161361141602634,0.731696813092162,0.0784313725490196,0.3342514263230375,fn<0_inferred,576.0,3398.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2477,17523,5103,14897,0.3294307630197819,0.6745051930237116,0.0547761294220312,0.1964275523597557,all,816.0,3442.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,451,9467,2481,7437,0.7272727272727273,0.9504232164449818,0.0441038052978351,0.249075736769832,fn<0,328.0,2358.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,2026,8056,2622,7460,0.2408687068114511,0.4134248665141113,0.0654155495978552,0.1345580933465739,fn>=0,488.0,1084.0,10.0,0.05
10-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.050000-notes/run_0,655,7357,459,7553,0.366412213740458,0.0958605664488017,0.0317754534622004,0.0059806986543428,fn>=0_inferred,240.0,44.0,10.0,0.05
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,2397,17603,5165,14835,0.3395911556111806,0.69351403678606,0.0548702392989551,0.2034880418110549,all,814.0,3582.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,647,7468,395,7720,0.4265842349304482,0.060759493670886,0.0357512953367875,0.0032137118371719,fn>=0_inferred,276.0,24.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,1750,10135,4770,7115,0.3074285714285714,0.7459119496855345,0.0756148981026001,0.3510606808090774,fn<0_inferred,538.0,3558.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,2094,7988,2610,7472,0.2440305635148042,0.3934865900383141,0.0683886509635974,0.1285678517776665,fn>=0,511.0,1027.0,10.0,0.15
10-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/10-r_fun-0.150000-notes/run_0,303,9615,2555,7363,1.0,1.0,0.0411517044682873,0.265730629225169,fn<0,303.0,2555.0,10.0,0.15
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,2601,7183,4983,4801,0.2029988465974625,0.5839855508729681,0.1099770881066444,0.4051232075734373,fn<0_inferred,528.0,2910.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,2299,7783,2659,7423,0.3257938234014789,0.4170740880030086,0.1009026000269432,0.1424900424001028,fn>=0,749.0,1109.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,675,9541,255,9961,0.8222222222222222,0.5294117647058824,0.0557172974600943,0.0141494602242951,fn>=0_inferred,555.0,135.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,977,8941,2579,7339,0.3418628454452405,0.7506785575804575,0.0455102875051096,0.216530589419528,fn<0,334.0,1936.0,11.0,0.1
11-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.100000-notes/run_0,3276,16724,5238,14762,0.3305860805860806,0.5813287514318443,0.073364042812627,0.1820736665869409,all,1083.0,3045.0,11.0,0.1
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,687,10036,63,10660,0.9243085880640466,0.1746031746031746,0.0595684803001876,0.0010960542048624,fn>=0_inferred,635.0,11.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,2321,7761,2660,7422,0.3778543731150366,0.4571428571428571,0.1181622204257612,0.1566808400979255,fn>=0,877.0,1216.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,2578,17422,5264,14736,0.4398758727695888,0.7256838905775076,0.0769543973941368,0.2192630008035817,all,1134.0,3820.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,257,9661,2604,7314,1.0,1.0,0.0351380913316926,0.2695373149777456,fn<0,257.0,2604.0,11.0,0.25
11-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/11-r_fun-0.250000-notes/run_0,1891,7386,5201,4076,0.2638815441565309,0.7323591616996732,0.1224239450441609,0.5157053885729759,fn<0_inferred,499.0,3809.0,11.0,0.25
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,677,7755,442,7990,0.3781388478581979,0.0475113122171945,0.0320400500625782,0.0027079303675048,fn>=0_inferred,256.0,21.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,1758,9810,4770,6798,0.3475540386803185,0.759538784067086,0.0898793762871432,0.3693170234454638,fn<0_inferred,611.0,3623.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,2125,7957,2632,7450,0.2621176470588235,0.4042553191489361,0.0747651006711409,0.1337187382179213,fn>=0,557.0,1064.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,310,9608,2580,7338,1.0,1.0,0.0422458435541019,0.268526228143214,fn<0,310.0,2580.0,13.0,0.2
13-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/13-r_fun-0.200000-notes/run_0,2435,17565,5212,14788,0.3560574948665297,0.6991557943207981,0.0586286177982147,0.2074580130942214,all,867.0,3644.0,13.0,0.2
14-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/14-r_fun-0.075000-notes/run_0,805,9748,505,10048,0.7490683229813665,0.6,0.0600119426751592,0.0310832991382847,fn>=0_inferred,603.0,303.0,14.0,0.075
14-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/14-r_fun-0.075000-notes/run_0,2083,7835,2618,7300,0.2760441670667307,0.4239877769289534,0.0787671232876712,0.1416719846841097,fn<0,575.0,1110.0,14.0,0.075
14-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/14-r_fun-0.075000-notes/run_0,3121,16879,5212,14788,0.3518103172060237,0.611857252494244,0.0742493913984311,0.1889329936607618,all,1098.0,3189.0,14.0,0.075
14-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/14-r_fun-0.075000-notes/run_0,1038,9044,2594,7488,0.5038535645472062,0.8014649190439476,0.0698450854700854,0.229876160990712,fn>=0,523.0,2079.0,14.0,0.075
14-r_fun-0.075000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/14-r_fun-0.075000-notes/run_0,2316,7131,4707,4740,0.2137305699481865,0.6131293817718292,0.1044303797468354,0.4047118216238957,fn<0_inferred,495.0,2886.0,14.0,0.075
15-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/15-r_fun-0.150000-notes/run_0,2562,17438,5169,14831,0.4437939110070257,0.7243180499129426,0.0766637448587418,0.2147035210459915,all,1137.0,3744.0,15.0,0.15
15-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/15-r_fun-0.150000-notes/run_0,794,10234,154,10874,0.8753148614609572,0.3571428571428571,0.0639139231193672,0.0053742427203439,fn>=0_inferred,695.0,55.0,15.0,0.15
15-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/15-r_fun-0.150000-notes/run_0,1768,7204,5015,3957,0.25,0.735593220338983,0.1117007834217841,0.5120766240977235,fn<0_inferred,442.0,3689.0,15.0,0.15
15-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_False/data/15-r_fun-0.150000-notes/run_0,2288,7794,2567,7515,0.3771853146853147,0.4448772886638099,0.114836992681304,0.1465229663843982,fn>=0,863.0,1142.0,15.0,0.15
