params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2285,7797,2576,7506,0.3024070021881838,0.3812111801242236,0.0920596855848654,0.1259458766192125,fn>=0,691.0,982.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,4005,15995,5133,14867,0.2631710362047441,0.4250925384765244,0.0708952714064707,0.1364176305095342,all,1054.0,2182.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1720,8198,2557,7361,0.2110465116279069,0.4692999608916699,0.049313951908708,0.1463771651622347,fn<0,363.0,1200.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2469,10584,3687,9366,0.3345484001620089,0.5543802549498237,0.0881913303437967,0.1931216931216931,fn<0_inferred,826.0,2044.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1536,5411,1446,5501,0.1484375,0.0954356846473029,0.0414470096346118,0.0255036037700979,fn>=0_inferred,228.0,138.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,4314,15686,5242,14758,0.2777005099675475,0.4055703929797787,0.0811763111532728,0.1355348718602575,all,1198.0,2126.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2080,9942,2608,9414,0.3942307692307692,0.5168711656441718,0.0871043127257276,0.1355864011265339,fn<0_inferred,820.0,1348.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2234,5744,2634,5344,0.1692032229185318,0.2953682611996963,0.0707335329341317,0.1354456824512535,fn>=0_inferred,378.0,778.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1856,8062,2659,7259,0.2025862068965517,0.4433997743512599,0.0517977682876429,0.146241627387745,fn<0,376.0,1179.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,2458,7624,2583,7499,0.3344182262001627,0.3666279519938056,0.1096146152820376,0.1242130115424973,fn>=0,822.0,947.0,1.0,0.025
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,2411,7671,2624,7458,0.3243467440895893,0.3791920731707317,0.10485384821668,0.1297092947464476,fn>=0,782.0,995.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,1907,8011,2649,7269,0.2632406921866806,0.469611174027935,0.0690603934516439,0.1552864810885033,fn<0,502.0,1244.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,838,9321,686,9473,0.7398568019093079,0.6822157434402333,0.0654491713290404,0.0502092050209205,fn>=0_inferred,620.0,468.0,1.0,0.05
