params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,number_of_notes,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2786334817241219,5.141274826935848e-42,0.1072827295576968,2.742575766946137e-07,0.7454161085339168,0.5508241909102845,0.1075798539042976,0.3069340667361049,2285,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.1573740955131595,8.028522369180213e-30,0.2433045381303394,4.678593516474555e-70,0.7496975030196766,0.4358268457697253,0.1503302109277917,0.2306805211213325,5133,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.5646840920363837,0.0,-0.030234885721762,0.0002268404388123,0.0736773341656084,0.0113229852480472,0.2854144400259988,0.4603253055832179,14867,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2502598580719147,5.673710499810056e-26,0.1534475456134336,1.5824500480304595e-10,0.8155306709302327,0.5399583960290698,0.1354736088649418,0.2957044946054651,1720,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.4480710073749478,0.0,0.0585747129273381,1.1128101903015661e-07,0.1292389993188338,-0.0024252305642177,0.3065626384012417,0.4265576825404611,8198,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.2184228606906202,5.42135699605197e-29,0.2930208096827524,8.366217240145351e-52,0.7519543085647242,0.4174667149315604,0.1940292545143566,0.2317449458991396,2557,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.5258414381698898,0.0,0.0145362961425923,0.2123923381635477,0.0732871761195218,-0.0215481577333863,0.3056761734910841,0.4636543656465154,7361,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5433406241185522,0.0,-0.0044829285619427,0.6922644498368811,0.0997907312587277,0.0305192181331507,0.2594416274883263,0.4259155416623573,7797,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.1000485448710304,3.6147627219163677e-07,0.219776258932005,1.5135590785207954e-29,0.7474573431677018,0.4540515563881988,0.1069534817155066,0.2296239473026785,2576,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.494883055017432,0.0,0.0285904906086777,0.0002988044615415,0.1148840042538355,0.0136340296104231,0.2835928026970841,0.4262446614447077,15995,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.6067311001792854,0.0,-0.0806074140150117,2.675047085204585e-12,0.074059955185758,0.0435591274657841,0.2655441202769324,0.457060555899507,7506,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5457265314387479,0.0,0.0630797356285515,8.289273136512748e-11,0.3388514883795446,0.0999037864513151,0.3620045530064806,0.4208444519798185,10584,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.0199121791765665,0.2267432430442916,0.2475470614405802,1.3223433412528e-52,0.7101066696501221,0.3755835655834011,0.1808451142624261,0.2426866670459452,3687,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.5875957725375298,0.0,-0.0547296579440345,1.158677493032841e-07,0.2904808245792334,0.0969214808631986,0.3771701794434043,0.4659670622220798,9366,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.0869362393789496,0.0006475443868216,-0.0719618580287642,0.0047772812949965,0.8812408990885418,0.6199220033398438,0.0722258629473437,0.2637633507795573,1536,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.3439345953069946,4.270559533807602e-150,-0.0186683095576678,0.169741811861576,-0.3231998715522085,-0.1551109540162631,0.1302182018331676,0.4368075549905193,5411,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,0.0480828867630309,0.0675659618422132,0.0080214350282216,0.7605438712491891,0.8506459142461965,0.5894347116390042,0.0725235383172821,0.2000673399152144,1446,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.5310416547496064,0.0,-0.0714449213664504,1.1294884526092268e-07,-0.2954521861423378,-0.134416972928922,0.1291911614614797,0.4507196533964188,5501,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.1034974456037052,2.5508393574861885e-07,0.1167717496311072,5.911066016442277e-09,0.709762066018631,0.5002679304455245,0.1490059327387201,0.3259682326512758,2469,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.2568678504008296,2.271735421775537e-61,0.1225074558657013,7.264383677715503e-15,0.7755277308364543,0.546157732184769,0.1195591943618027,0.3021113790795006,4005,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,unpublished,0.3732959616330981,2.17341678387777e-189,0.0197270334998558,0.1349364227269193,-0.1685897404606545,-0.1131606049495647,0.1026789129503774,0.4223464798306406,5744,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,publishable,0.1037148413342734,9.56650591422644e-08,-0.0058562572931113,0.7638585393475616,0.806611716780562,0.4923032133006834,0.1115687736692589,0.2100053333264996,2634,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,unpublished,0.4919929384087648,0.0,0.0339925486712977,2.0603721665463014e-05,0.104561676209249,0.0083519280056108,0.2524666925433251,0.4218532985226061,15686,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,published,0.2405146707555778,8.078284482668504e-58,0.1073170408636873,1.5823921800356269e-12,0.7649741386184514,0.5385601038664812,0.1275112341507811,0.3123291841884561,4314,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,publishable,0.1530073983535121,7.921981467414487e-29,0.2033242327940551,4.926647065641552e-50,0.7468501390690576,0.4381591379704311,0.1278936933536528,0.2289741146269744,5242,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,all,unpublishable,0.5693769316895811,0.0,-0.0354967546708198,1.608874967115036e-05,0.0694717751740262,0.0106739686634375,0.2601881869359818,0.4583477864439626,14758,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,published,0.2197008339353186,1.0101950879528706e-21,0.1728651761421632,6.442365409198589e-14,0.8048847214439655,0.533634200619612,0.1041136457728448,0.2965765143502155,1856,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,unpublishable,0.5674495529163786,0.0,-0.0408356172689178,7.39412063445194e-05,0.2356015078844571,0.0860602172168379,0.3499879186615903,0.4533079969186105,9414,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,unpublished,0.4637087361515148,0.0,0.027820016031936,0.0124890011032746,0.1253905778001736,-0.0095311579391512,0.2894220829025971,0.4171706748228479,8062,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,publishable,0.2157515140374913,2.2414758872309188e-29,0.3195789883627202,3.367556752365115e-64,0.7460308691237307,0.4210689548856713,0.134196888057566,0.2279283384101541,2659,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,published,0.0844554765915663,6.422791276058004e-05,-0.0341034157876556,0.1070769589006894,0.850629630259624,0.5792644240465532,0.1115288587192784,0.2793424427855864,2234,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0,unpublishable,0.5464041404647387,0.0,-0.0525946497956811,7.346884453253571e-06,0.0717824494041879,-0.0283837264081053,0.2989015337608582,0.4556570518285163,7259,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0,unpublished,0.5249433548161048,0.0,0.0496373508376865,1.450506169310429e-05,0.0825361509435047,0.0272624000526559,0.2133882091912198,0.4268049396909497,7624,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0,publishable,0.0890020967561977,5.893447962893737e-06,0.0107544733552996,0.584840334368433,0.7476935145180023,0.4557521680991095,0.1214050387978242,0.2300506608757259,2583,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0,unpublishable,0.5975127366589172,0.0,-0.01329541673597,0.2496503568959097,0.0672350523794212,0.0484816508243031,0.2227138324084744,0.460952406069716,7499,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,published,0.1314710135371818,1.760006882705611e-09,0.1420024321965776,7.748411377824753e-11,0.6729768461538462,0.4948420984423077,0.1446769200709625,0.3477582131759615,2080,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,publishable,0.0596487499450155,0.0023080706574887,0.2949705448244095,1.625927271148696e-53,0.6864927787576688,0.3834752827480828,0.1443813614704831,0.2481320018759969,2608,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn<0_inferred,unpublished,0.5134974940294227,0.0,0.0482338724515156,1.4974564670642204e-06,0.2623751681979763,0.0785559100308099,0.3390067253316868,0.4215683625506336,9942,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0,published,0.2697734672849898,2.9876939405682715e-42,0.0421103675709563,0.036832023206832,0.7348382388120424,0.5422795816639544,0.1451784123564158,0.3242237957506103,2458,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,fn>=0_inferred,unpublishable,0.5394522697126908,0.0,0.0394713788416003,0.0039028044063128,-0.2231826604053144,-0.122126582212631,0.1019968182112664,0.4672258887253368,5344,1.0,0.025
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0_inferred,unpublished,0.4473790578378796,0.0,0.0016555978623117,0.8730237288867829,0.1751100389672138,0.0641446494023125,0.3252749829930625,0.4467594335728462,9321,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0_inferred,published,0.1511429185943777,1.1125541789578104e-05,0.0451759559952449,0.1913897369445328,0.4800302052505966,0.4727264570167064,0.172598595241074,0.3980378985,838,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0_inferred,publishable,-0.2696676510524574,6.787626773258652e-13,0.3714398375521081,7.237205444306308e-24,0.5334289737609329,0.3260244214489796,0.1040269383856268,0.3207962706851311,686,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0_inferred,unpublishable,0.4604210043777657,4.7231455489781e-274,0.1055581458161535,1.7073309684168058e-14,-0.102565428439094,-0.0767156111250475,0.1132022633325428,0.4790912883323981,5254,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0_inferred,publishable,0.0995596991339238,1.4002877893305922e-11,-0.1062571185785141,5.393808196471087e-13,0.7802027883148026,0.4322540318511009,0.1796096656497711,0.2145565726435339,4587,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0_inferred,unpublished,0.2042989903191341,6.569350536841879e-61,-0.0919285713852407,2.042851319207327e-13,0.0271712924038673,-0.0423628224445841,0.1214150341944411,0.3925524406072661,6361,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0_inferred,published,0.0956456492447374,1.574698230073511e-08,-0.1234199393407954,2.750843823691392e-13,0.8238720798850575,0.5313664760977013,0.1857221825786896,0.2885892393423822,3480,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0,unpublishable,0.5830370136998704,0.0,0.0329242431769768,0.0044603863747503,0.0759827401113301,0.049708293984384,0.2430030945989555,0.4583933743714025,7458,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0_inferred,unpublishable,0.5189729624193884,0.0,-0.0218342427426834,0.0335794987381515,0.1761357235525599,0.0813242156597651,0.327790906741034,0.4515712232223688,9473,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0,unpublished,0.5189072281739329,0.0,0.0976470017745371,1.0220377044583069e-17,0.09741353210146,0.0334012085908663,0.2335638048670746,0.4256633989536332,7671,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0,published,0.2474351642649967,5.829201409314716e-35,0.0324892193601367,0.1107396858743687,0.7357832621318955,0.5287489056656989,0.1513326203523641,0.3127975743222729,2411,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn>=0,publishable,0.1189116831445393,9.960784549005902e-10,-0.0328854765174903,0.0921408615532392,0.7448755236280488,0.4421912447122713,0.1311790454595541,0.2289333456564024,2624,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0,publishable,0.156984888238804,4.422760683052559e-16,-0.1918586917874622,2.2196373658380237e-23,0.7512907104567762,0.3949007818384296,0.2080098908199962,0.2278279129495998,2649,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0,unpublished,0.4390344268341095,0.0,-0.0336932163827229,0.0025607436705281,0.1320407014659967,0.0090128189250304,0.2512222196796712,0.4239179655051803,8011,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0,published,0.2405159118200905,1.68821965908627e-26,-0.2109711670179395,1.2556344259636447e-20,0.7841461484006292,0.5089074442789722,0.2234335975439486,0.3060783220574148,1907,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,all,unpublishable,0.5654546449775478,0.0,-0.0227971417077827,0.0056632319802117,0.0767063861067698,0.0249419755614826,0.2512343281800092,0.4613892732045848,14727,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,all,publishable,0.1346042572513182,9.538596900673209e-23,-0.1102118504676509,1.009967880531438e-15,0.7480983246728617,0.4184339080627726,0.1697766008094139,0.2283780088006619,5273,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,all,unpublished,0.4785334413187397,0.0,0.0308226342095056,0.0001131738067947,0.1151024910211962,0.0209426325410633,0.2425844375072807,0.4247717609383573,15682,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,all,published,0.2300963247063567,5.483303660726384e-53,-0.074643697654618,9.090026161443352e-07,0.7571422301991663,0.5199861296433533,0.1831752705386428,0.3098300861172974,4318,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_LOW_UPol_LOW_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.050000-notes/run_0,fn<0,unpublishable,0.5484139378329753,0.0,-0.0794818249231516,1.1523108894128269e-11,0.0774488474954051,-0.0004682875831037,0.2596795806284201,0.4644630678803136,7269,1.0,0.05
