params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2379,17621,5155,14845,0.2849936948297604,0.6700290979631426,0.0456719434152913,0.1960161171329663,all,678.0,3454.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1348,8698,2569,7477,0.3820474777448071,0.6757493188010899,0.0688778922027551,0.1995861117498275,fn>=0,515.0,1736.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1181,8832,2525,7488,0.4140558848433531,0.7259405940594059,0.0653044871794871,0.2075407608695652,fn>=0_inferred,489.0,1833.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1198,8789,2630,7357,0.1577629382303839,0.6163498098859316,0.0256898192197906,0.1844350893161906,fn<0_inferred,189.0,1621.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1031,8923,2586,7368,0.1580989330746847,0.6643464810518175,0.0221226927252985,0.192536142552953,fn<0,163.0,1718.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,800,9305,2620,7485,0.40125,0.817175572519084,0.0428857715430861,0.230091348737238,fn>=0_inferred,321.0,2141.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1021,8874,2618,7277,0.2291870714985308,0.69938884644767,0.0321561082863817,0.206333107955826,fn<0_inferred,234.0,1831.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,867,9179,2585,7461,0.3886966551326413,0.7949709864603481,0.0451682080150113,0.2238805970149253,fn>=0,337.0,2055.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,954,9000,2653,7301,0.2285115303983228,0.7225782133433849,0.0298589234351458,0.213,fn<0,218.0,1917.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_HIGH_NPol_LOW/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1821,18179,5238,14762,0.3047775947281713,0.7583046964490263,0.0375965316352797,0.2184938665493151,all,555.0,3972.0,1.0,0.025
