params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1821,8211,533,9499,0.8747940691927513,0.5722326454033771,0.1677018633540372,0.0371452928997686,fn>=0_inferred,1593.0,305.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,3437,16563,1069,18931,0.8594704684317719,0.5481758652946679,0.1560403570862606,0.0353800639980679,all,2954.0,586.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1537,8417,540,9414,0.8366948601171112,0.5351851851851852,0.1366050562991289,0.0343352738505405,fn<0,1286.0,289.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1900,8146,529,9517,0.8778947368421053,0.5614366729678639,0.1752653147000105,0.0364596120795482,fn>=0,1668.0,297.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1616,8352,536,9432,0.8422029702970297,0.5242537313432836,0.1442960135708227,0.0336446360153256,fn<0_inferred,1361.0,281.0,1.0,0.0
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1805,7921,476,9250,0.845983379501385,0.4159663865546218,0.165081081081081,0.0249968438328493,fn<0_inferred,1527.0,198.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1682,8592,581,9693,0.8638525564803805,0.6058519793459552,0.1499019911276178,0.0409683426443202,fn>=0_inferred,1453.0,352.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,3487,16513,1057,18943,0.8546028104387726,0.5203405865657521,0.157314047405374,0.033307091382547,all,2980.0,550.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1788,8166,526,9428,0.8501118568232662,0.4904942965779467,0.1612218922358931,0.0315944158706833,fn<0,1520.0,258.0,1.0,0.025
1-r_fun-0.025000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.025000-notes/run_0,1699,8347,531,9515,0.859329017068864,0.5499058380414312,0.1534419337887546,0.0349826284892775,fn>=0,1460.0,292.0,1.0,0.025
