params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,number_of_notes,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.1807701922114798,1.2347116985464983e-26,0.2376745367209127,2.4190650874432276e-45,0.6803963986383474,0.4887742128920569,0.2323960258229764,0.953896590491126,3437,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.3690454751107762,0.0,0.2630663531223522,2.9654555206627743e-260,0.161408437027006,0.0713055262942958,0.3085243587022344,1.0445463840717866,16563,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.022157329844219,0.469257481721486,-0.0535723044634982,0.0799829735283295,0.7525069008419084,0.3714684406697849,0.2044924575407203,0.3184040100093545,1069,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,0.0064698351873592,0.8815389359251505,-0.0315889657138216,0.4667621363884764,0.775438148217636,0.3580014374146341,0.2039122783328892,0.3120821564915572,533,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.3659028633114199,1.4459575088404674e-258,0.2144865361387926,4.573361925266094e-86,0.1503949065375593,0.0669550261445733,0.2981785614219036,1.0463172015106563,8211,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.153740128686577,4.243380742906148e-11,0.1804485115272433,8.57387288659113e-15,0.6510808447666118,0.4955765385282812,0.1975270849234651,0.9895527766556836,1821,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.4557267642177118,0.0,0.292822700789539,7.582382405004914e-186,0.2332801340859203,0.1274865148913624,0.3170988031910727,1.061497465618639,9432,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.0605093661497269,0.1618415811416812,-0.076683200951165,0.076094206231932,0.7297039999999999,0.3848600689067164,0.2050693894768656,0.3246904800186567,536,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.3688143709109766,1.8551116008688264e-267,0.3059517251922182,1.788871661088504e-180,0.1722360350692528,0.0755825805003987,0.3186954963302033,1.042805461898587,8352,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.2483487945394084,3.8652008350212846e-24,0.385519069080115,2.0793589565050048e-58,0.7134308191831683,0.4811089684715346,0.2716883162796658,0.9137171876410892,1616,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.451431099044764,0.0,0.2143135066712558,2.710935826769772e-99,0.2224998489471367,0.1454903796289579,0.2862238290362456,1.0668376711841967,9517,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0111596366031554,0.7978948918617654,-0.1181012344320475,0.0065395365098738,0.7550878298676749,0.3696724795500945,0.2050081557538752,0.3122935106427221,529,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.406542839639733,7.2e-322,0.2475401346471601,5.324056267669342e-114,0.15522366598452,0.0784279595618453,0.301516875365874,1.037174325313037,8146,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.1535713000589579,1.7016702263304555e-11,0.1296079663468007,1.4305500345288081e-08,0.6592213375368422,0.4954286979052631,0.1980447518954421,0.9839343841,1900,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.434929692027927,0.0,0.2667025151490733,4.829275687498059e-153,0.2220065248744847,0.1146397594771223,0.3150881108869448,1.071372035005205,9414,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.0333994829553169,0.4386047630634038,0.0042368010104315,0.9217523190402516,0.7499785462962963,0.3732278173962963,0.2039872642911666,0.3243900362407407,540,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.3337483445017837,4.1891783141797535e-218,0.2763459080295989,2.1682214759775718e-147,0.1673940785753118,0.064412412192186,0.3153062238867409,1.0516810865368895,8417,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2468166115457106,9.161817134146957e-23,0.433233948732709,2.4081341061116087e-71,0.7065724663630448,0.480548109102147,0.274860190079525,0.9167646400312296,1537,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/Homophily_NONE_UPol_LOW_NPol_HIGH/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.4329979550857079,0.0,0.1887919554565917,6.174071155428188e-77,0.2113066915359406,0.1327926971461303,0.2841726229213022,1.0766339992087588,9499,1.0,0.0
