params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,st_prop,bhvr_rate
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,1303,7146,1324,7125,0.5126630851880276,0.520392749244713,0.0937543859649122,0.0964175762664427,fn>=0_inferred,668.0,689.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,3053,8498,3833,7718,0.2489354733049459,0.4017740673102009,0.0984711065042757,0.1812191103789127,fn<0_inferred,760.0,1540.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,2062,7941,2557,7446,0.2963142580019399,0.4325381306218224,0.0820574805264571,0.1392771691222767,fn>=0,611.0,1106.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,2294,7703,2600,7397,0.3561464690496949,0.4319230769230769,0.1104501825064215,0.1457873555757497,fn<0,817.0,1123.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,4356,15644,5157,14843,0.3278236914600551,0.4322280395578824,0.0962069662467156,0.1424827409869598,all,1428.0,2229.0,0.0,0.0
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,2912,8408,3813,7507,0.2565247252747252,0.4322056123787044,0.0995071266817636,0.1960038058991436,fn<0_inferred,747.0,1648.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,2247,7721,2615,7353,0.3444592790387183,0.4367112810707457,0.1052631578947368,0.1479083020334153,fn<0,774.0,1142.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,2111,7921,2581,7451,0.2946470866887731,0.4230918248740798,0.0834787276875587,0.1378613811387451,fn>=0,622.0,1092.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,4358,15642,5196,14804,0.320330426801285,0.4299461123941493,0.0942988381518508,0.1428206111750415,all,1396.0,2234.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,1446,7234,1383,7297,0.4488243430152144,0.4237165582067968,0.0889406605454296,0.0810063588609344,fn>=0_inferred,649.0,586.0,0.0,0.04
