params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,st_prop,bhvr_rate
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,1286,7071,1279,7078,0.5233281493001555,0.5207193119624707,0.0950833568804747,0.0941875265167585,fn>=0_inferred,673.0,666.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,3114,8529,3878,7765,0.2504816955684008,0.3981433728726147,0.1004507405022537,0.1810294290069175,fn<0_inferred,780.0,1544.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,2087,7916,2557,7446,0.2989937709631049,0.4278451310129057,0.0838033843674456,0.1382011116725619,fn>=0,624.0,1094.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,2313,7684,2600,7397,0.3584089926502378,0.4292307692307692,0.1120724618088414,0.1452368558042686,fn<0,829.0,1116.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,4400,15600,5157,14843,0.3302272727272727,0.4285437269730463,0.0978912618742841,0.1416666666666666,all,1453.0,2210.0,0.0,0.0
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,2999,8452,3893,7558,0.2550850283427809,0.4261494991009504,0.1012172532415983,0.1962849029815428,fn<0_inferred,765.0,1659.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,2263,7705,2615,7353,0.3468846663720725,0.4347992351816444,0.1067591459268325,0.1475665152498377,fn<0,785.0,1137.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,2127,7905,2581,7451,0.2952515279736718,0.4192173576133282,0.0842839887263454,0.1368753953194181,fn>=0,628.0,1082.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,4390,15610,5196,14804,0.3218678815489749,0.4270592763664357,0.0954471764388003,0.142152466367713,all,1413.0,2219.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,1391,7158,1303,7246,0.4658519051042415,0.4297774366845741,0.089428650289815,0.078234143615535,fn>=0_inferred,648.0,560.0,0.0,0.04
0.000000-r_fun-0.080000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.080000-notes/run_0,3424,8327,4482,7269,0.2637266355140187,0.4375278893351182,0.1242261659100288,0.2354989792242104,fn<0_inferred,903.0,1961.0,0.0,0.08
0.000000-r_fun-0.080000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.080000-notes/run_0,997,7252,742,7507,0.5877632898696088,0.4460916442048517,0.0780604768882376,0.045642581356867,fn>=0_inferred,586.0,331.0,0.0,0.08
0.000000-r_fun-0.080000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.080000-notes/run_0,4421,15579,5224,14776,0.3368016285908166,0.4387442572741195,0.1007715213860314,0.1471211245907953,all,1489.0,2292.0,0.0,0.08
0.000000-r_fun-0.080000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.080000-notes/run_0,2289,7797,2623,7463,0.3486238532110092,0.4315669081204727,0.1069275090446201,0.1451840451455688,fn>=0,798.0,1132.0,0.0,0.08
0.000000-r_fun-0.080000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.080000-notes/run_0,2132,7782,2601,7313,0.324108818011257,0.4459823144944252,0.0944892656912347,0.1490619378051914,fn<0,691.0,1160.0,0.0,0.08
0.000000-r_fun-0.120000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.120000-notes/run_0,1275,7638,1431,7482,0.4439215686274509,0.5045422781271838,0.0756482224004276,0.0945273631840796,fn>=0_inferred,566.0,722.0,0.0,0.12
0.000000-r_fun-0.120000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.120000-notes/run_0,2100,7860,2614,7346,0.3171428571428571,0.4514154552410099,0.0906615845358018,0.1501272264631043,fn<0,666.0,1180.0,0.0,0.12
0.000000-r_fun-0.120000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.120000-notes/run_0,3067,8020,3825,7262,0.2699706553635474,0.414640522875817,0.1140181768107959,0.1977556109725685,fn<0_inferred,828.0,1586.0,0.0,0.12
0.000000-r_fun-0.120000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.120000-notes/run_0,2242,7798,2642,7398,0.3247100802854594,0.4269492808478425,0.098404974317383,0.1446524749935881,fn>=0,728.0,1128.0,0.0,0.12
