params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,st_prop,bhvr_rate
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,1983,7434,1833,7584,0.3731719616742309,0.3218767048554282,0.0975738396624472,0.0793650793650793,fn>=0_inferred,740.0,590.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,2554,8029,3353,7230,0.288175411119812,0.4577989859827021,0.1017980636237897,0.1911819653755137,fn<0_inferred,736.0,1535.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,2327,7676,2623,7380,0.3437902879243661,0.4178421654593976,0.1084010840108401,0.1427826993225638,fn>=0,800.0,1096.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,2210,7787,2563,7434,0.3058823529411765,0.4014826375341396,0.0909335485606672,0.1321433157827148,fn<0,676.0,1029.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.000000-notes/run_0,4537,15463,5186,14814,0.3253251046947322,0.4097570381797146,0.0996354799513973,0.137424820539352,all,1476.0,2125.0,0.0,0.0
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,3198,8717,4095,7820,0.258599124452783,0.421001221001221,0.1057544757033248,0.197774463691637,fn<0_inferred,827.0,1724.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,2310,7658,2636,7332,0.361038961038961,0.4400606980273141,0.113747954173486,0.1514755810916688,fn<0,834.0,1160.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,2082,7950,2565,7467,0.3088376560999039,0.4389863547758285,0.0861122271327173,0.1416352201257861,fn>=0,643.0,1126.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,4392,15608,5201,14799,0.3362932604735883,0.4395308594501057,0.0998040408135684,0.1464633521271143,all,1477.0,2286.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_False/data/0.000000-r_fun-0.040000-notes/run_0,1194,6891,1106,6979,0.5443886097152428,0.5081374321880651,0.0931365525146869,0.0815556523001015,fn>=0_inferred,650.0,562.0,0.0,0.04
