params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,st_prop,bhvr_rate
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,1688,7304,1512,7480,0.4158767772511848,0.3478835978835979,0.0938502673796791,0.0720153340635268,fn>=0_inferred,702.0,526.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,2856,8152,3674,7334,0.2755602240896359,0.4368535655960806,0.1073084265066812,0.1968842001962708,fn<0_inferred,787.0,1605.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,2336,7667,2623,7380,0.3471746575342466,0.4186046511627907,0.1098915989159891,0.1432111647319681,fn>=0,811.0,1098.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,2208,7789,2563,7434,0.3070652173913043,0.4030433086227077,0.0912025827280064,0.1326229297727564,fn<0,678.0,1033.0,0.0,0.0
0.000000-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.000000-notes/run_0,4544,15456,5186,14814,0.3276848591549295,0.4109139992286926,0.1005130282165519,0.1378752587991718,all,1489.0,2131.0,0.0,0.0
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,3235,8725,4108,7852,0.2605873261205564,0.4177215189873418,0.1073611818644931,0.196676217765043,fn<0_inferred,843.0,1716.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,2329,7639,2636,7332,0.3632460283383426,0.4374051593323217,0.1153846153846153,0.1509359863856525,fn<0,846.0,1153.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,2096,7936,2565,7467,0.3115458015267175,0.4374269005847953,0.0874514530601312,0.1413810483870967,fn>=0,653.0,1122.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,4425,15575,5201,14799,0.3387570621468926,0.4374158815612382,0.1012906277451179,0.146067415730337,all,1499.0,2275.0,0.0,0.04
0.000000-r_fun-0.040000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_with_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.040000-notes/run_0,1190,6850,1093,6947,0.5512605042016807,0.5114364135407137,0.0944292500359867,0.0816058394160584,fn>=0_inferred,656.0,559.0,0.0,0.04
