params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,dhom
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,1718,8200,2557,7361,0.3055878928987194,0.5334376222135315,0.0713218312729248,0.1663414634146341,fn<0,525.0,1364.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,3829,16171,5133,14867,0.2914599112039697,0.4714591856614066,0.0750655814892042,0.1496506091150825,all,1116.0,2420.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,801,7077,562,7316,0.3470661672908864,0.0693950177935943,0.0379989065062875,0.0055108096651123,fn>=0_inferred,278.0,39.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,3028,9094,4571,7551,0.2767503302509908,0.52089258367972,0.1109786783207522,0.2618209808665054,fn<0_inferred,838.0,2381.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,2111,7971,2576,7506,0.2799621032685931,0.4099378881987577,0.0787370103916866,0.1324802408731652,fn>=0,591.0,1056.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,4303,15697,5220,14780,0.291424587497095,0.4159003831417625,0.0848443843031123,0.1383066828056316,all,1254.0,2171.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,1886,8048,2596,7338,0.2592788971367974,0.461864406779661,0.0666394112837285,0.1489811133200795,fn<0,489.0,1199.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2036,5385,2165,5256,0.1822200392927308,0.23094688221709,0.0705859969558599,0.0928505106778087,fn>=0_inferred,371.0,500.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2417,7649,2624,7442,0.3165080678527099,0.3704268292682927,0.1027949475947326,0.127075434697346,fn>=0,765.0,972.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2267,10312,3055,9524,0.3895015438906043,0.5469721767594108,0.0927131457370852,0.162044220325834,fn<0_inferred,883.0,1671.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,1971,8567,3312,7226,0.3886352105530187,0.6361714975845411,0.1060060891226127,0.2459437375977588,fn<0_inferred,766.0,2107.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2114,7980,2544,7550,0.3434247871333964,0.4544025157232704,0.096158940397351,0.1448621553884711,fn>=0,726.0,1156.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,1939,7967,2584,7322,0.3909231562661165,0.5429566563467493,0.103523627424201,0.1761014183506966,fn<0,758.0,1403.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,4053,15947,5128,14872,0.3661485319516407,0.4990249609984399,0.0997848305540613,0.1604690537405154,all,1484.0,2559.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2082,7380,1816,7646,0.3448607108549472,0.2488986784140969,0.0939053099659952,0.0612466124661246,fn>=0_inferred,718.0,452.0,1.0,0.2
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,1974,7997,2581,7390,0.4240121580547112,0.5594730724525377,0.1132611637347767,0.1805677128923346,fn<0,837.0,1444.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,1427,6215,1033,6609,0.3686054660126139,0.1277831558567279,0.0795884400060523,0.0212389380530973,fn>=0_inferred,526.0,132.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,2479,9879,4192,8166,0.3715207745058491,0.6283396946564885,0.1127847171197648,0.2666261767385363,fn<0_inferred,921.0,2634.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,1932,8097,2644,7385,0.3157349896480331,0.5,0.0825998645903859,0.1632703470421143,fn>=0,610.0,1322.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,3906,16094,5225,14775,0.3704557091653865,0.5293779904306221,0.0979357021996615,0.1718652914129489,all,1447.0,2766.0,1.0,0.3
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,1902,8053,2545,7410,0.4295478443743428,0.5736738703339882,0.1102564102564102,0.1812988948218055,fn<0,817.0,1460.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,3814,16186,5053,14947,0.4147876245411641,0.558282208588957,0.1058406369171071,0.1742864203632769,all,1582.0,2821.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,1636,8209,2743,7102,0.4260391198044009,0.6576740794750273,0.0981413686285553,0.2197588013156292,fn<0_inferred,697.0,1804.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,2178,7977,2310,7845,0.4063360881542699,0.4402597402597402,0.1128107074569789,0.1274915381722452,fn>=0_inferred,885.0,1017.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,1912,8133,2508,7537,0.4001046025104602,0.5426634768740032,0.1014992702666843,0.1673429238903233,fn>=0,765.0,1361.0,1.0,0.4
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,3460,16540,5213,14787,0.4476878612716763,0.6334164588528678,0.104754175965375,0.1996372430471584,all,1549.0,3302.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,1800,8207,2592,7415,0.475,0.6354166666666666,0.1153068105192178,0.2006823443401973,fn>=0,855.0,1647.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,3022,8329,5155,6196,0.3798808735936466,0.6364694471387002,0.1852808263395739,0.393924840917277,fn<0_inferred,1148.0,3281.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,438,8211,58,8591,0.9155251141552512,0.3620689655172414,0.046676754743336,0.0025575447570332,fn>=0_inferred,401.0,21.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,1660,8333,2621,7372,0.4180722891566265,0.6314383822968332,0.094139989148128,0.1986079443177727,fn<0,694.0,1655.0,1.0,0.5
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,1554,8396,2686,7264,0.5045045045045045,0.7133283693224125,0.1079295154185022,0.228203906622201,fn>=0,784.0,1916.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,2766,8815,5324,6257,0.406001446131598,0.691397445529677,0.1794789835384369,0.4175836642087351,fn<0_inferred,1123.0,3681.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,1676,8374,2660,7390,0.4731503579952267,0.6680451127819549,0.1073071718538565,0.2122044423214712,fn<0,793.0,1777.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,464,7955,22,8397,0.978448275862069,0.5454545454545454,0.0540669286649994,0.0015084852294154,fn>=0_inferred,454.0,12.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,3230,16770,5346,14654,0.488235294117647,0.6907968574635241,0.1076156680769755,0.2202146690518783,all,1577.0,3693.0,1.0,0.6
