params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,dhom
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1734,8184,2557,7361,0.3079584775086505,0.5307000391083301,0.0725444912376035,0.1658113391984359,fn<0,534.0,1357.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,3867,16133,5133,14867,0.295577967416602,0.4693161893629456,0.0768816842671689,0.1493212669683258,all,1143.0,2409.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,947,7122,701,7368,0.3136219640971489,0.0727532097004279,0.0403094462540716,0.0071609098567818,fn>=0_inferred,297.0,51.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2920,9011,4432,7499,0.2897260273972603,0.5320397111913358,0.1128150420056007,0.2616801686827211,fn<0_inferred,846.0,2358.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2133,7949,2576,7506,0.2855133614627285,0.4083850931677019,0.0811350919264588,0.1323436910303183,fn>=0,609.0,1052.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,4259,15741,5220,14780,0.3181498004226344,0.4436781609195402,0.0916779431664411,0.1471316943015056,all,1355.0,2316.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,1943,7991,2596,7338,0.3252702007205352,0.4949922958397534,0.0861270100844916,0.1608059066449756,fn<0,632.0,1285.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,1669,7285,1395,7559,0.3175554224086279,0.1835125448028673,0.0701150945892313,0.0351407000686341,fn>=0_inferred,530.0,256.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2316,7750,2624,7442,0.3121761658031088,0.3929115853658536,0.097151303413061,0.1330322580645161,fn>=0,723.0,1031.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2590,8456,3825,7221,0.3185328185328185,0.538562091503268,0.1142501038637307,0.2436140018921475,fn<0_inferred,825.0,2060.0,1.0,0.1
