params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,dhom,number_of_notes
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,0.2972147480901463,9.17201432013113e-16,0.2644639884839443,1.1058222435415284e-12,0.8176215249643367,0.6057379429101284,0.0635842495716547,0.2235732472524964,1.0,0.927246790299572,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.3142876364735649,4.7990541253471243e-163,0.0523060094308955,1.003331677881914e-05,-0.1045742475792193,-0.0421655901380919,0.2232453557855091,0.4467097379550267,0.0071609098567818,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.4331864175097458,0.0,0.0456462943816208,8.872489784659216e-05,-0.0790618332327904,-0.0220791931899417,0.2216568528772307,0.4495627875238464,0.0,0.0403094462540716,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.226084414765954,5.2238749059673196e-46,0.0380528089710757,0.0179613553442571,0.7537133392810965,0.5217523446366693,0.1768603142310628,0.3112139677906387,0.704422032583398,1.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.4763340068433063,0.0,0.0082976875314556,0.2919408560093775,0.1257638831612285,0.0303503027952756,0.2608836602779456,0.4230009929693857,0.1493212669683258,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.0927813403624711,2.7370510161207283e-11,0.0196803147959615,0.1586021587003382,0.7496975030196766,0.4076435215451003,0.2108041582062711,0.2306805211213325,1.0,0.5306838106370544,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.1895173731382618,1.7443351452330036e-15,-0.1293710926433308,6.443644984031363e-08,0.7508793275663207,0.4878331825490196,0.2644552759617474,0.3186791373906574,0.6920415224913494,1.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.430042460876634,0.0,0.0177144566535055,0.109061116136286,0.1417631129540322,0.0362517946552063,0.2511871109676132,0.4219137326432918,0.1658113391984359,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.0803839266663201,4.714333140686687e-05,-0.2664176465342064,8.383792774683831e-43,0.7519543085647242,0.3725745998881501,0.2951979057946891,0.2317449458991396,1.0,0.4692999608916699,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.5083360572815083,0.0,0.0742036680627643,1.84034168209753e-10,0.0732871761195218,0.0258000508197539,0.2390245509522615,0.4636543656465154,0.0,0.0725444912376035,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.5528808858704519,0.0,0.0004074238944236,0.9603828564153458,0.0736773341656084,0.0279023041376997,0.2563191755110531,0.4603253055832179,0.0,0.0768816842671689,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5324711135662432,0.0,-0.0007608632333866,0.945924345310981,0.1092916606647754,0.0242743423748865,0.2708668732048245,0.4241203964803623,0.1323436910303183,0.0,1.0,0.0,
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.2792018538334536,1.7113897934099822e-39,0.1649797512718231,1.752117805812754e-14,0.7560172194092827,0.5493265720440694,0.1056509079296062,0.3051452363858415,0.7144866385372715,1.0,1.0,0.0,
