params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,var_iu
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,1492,6751,1227,7016,0.5723860589812333,0.4800325998370008,0.1217217787913341,0.0872463338764627,fn>=0_inferred,854.0,589.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,3541,8216,3951,7806,0.3089522733691047,0.3806631232599342,0.140148603638227,0.1830574488802337,fn<0_inferred,1094.0,1504.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2469,7527,2555,7441,0.3710004050222762,0.3921722113502935,0.1231017336379518,0.1331207652451175,fn<0,916.0,1002.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,5033,14967,5178,14822,0.387045499701967,0.4042101197373503,0.1314262582647416,0.1398409834970267,all,1948.0,2093.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2564,7440,2623,7381,0.4024960998439937,0.415935951200915,0.1398184527841756,0.1466397849462365,fn>=0,1032.0,1091.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2210,7818,2570,7458,0.3429864253393665,0.4350194552529183,0.1016358272995441,0.1430033256587362,fn<0,758.0,1118.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2542,7789,2792,7539,0.3139260424862313,0.3753581661891118,0.1058495821727019,0.1345487225574528,fn>=0_inferred,798.0,1048.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2195,7777,2546,7426,0.3179954441913439,0.4120188531029065,0.0939940748720711,0.1348849170631348,fn>=0,698.0,1049.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,1863,7806,2324,7345,0.3531937734836285,0.4814974182444062,0.0895847515316541,0.1433512682551883,fn<0_inferred,658.0,1119.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,4405,15595,5116,14884,0.3305334846765039,0.4235731039874902,0.0978231658156409,0.1389547932029496,all,1456.0,2167.0,1.0,0.2
