params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,var_iu
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,1447,6732,1181,6998,0.5798203178991016,0.4851820491109229,0.1198913975421549,0.0851158645276292,fn>=0_inferred,839.0,573.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,3558,8263,3997,7824,0.3074761101742552,0.3835376532399299,0.1398261758691206,0.1855258380733389,fn<0_inferred,1094.0,1533.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2451,7545,2555,7441,0.3692370461036312,0.3949119373776908,0.1216234377099852,0.1337309476474486,fn<0,905.0,1009.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,5005,14995,5178,14822,0.3862137862137862,0.406720741599073,0.1304142490891917,0.1404468156052017,all,1933.0,2106.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2554,7450,2623,7381,0.4025058731401723,0.4182234083110941,0.13927652079664,0.147248322147651,fn>=0,1028.0,1097.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2250,7778,2570,7458,0.3568888888888888,0.4369649805447471,0.107669616519174,0.1443815890974543,fn<0,803.0,1123.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2426,7834,2653,7607,0.3408903544929926,0.3972860912174896,0.1087156566320494,0.1345417411284146,fn>=0_inferred,827.0,1054.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2182,7790,2546,7426,0.3166819431714023,0.4143754909662215,0.0930514408833827,0.1354300385109114,fn>=0,691.0,1055.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2006,7734,2463,7277,0.3325024925224327,0.4563540397888753,0.0916586505428061,0.1453322989397465,fn<0_inferred,667.0,1124.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,4432,15568,5116,14884,0.3370938628158845,0.4257232212666145,0.1003762429454447,0.1399023638232271,all,1494.0,2178.0,1.0,0.2
