params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,3407,9228,4740,7895,0.2521279718227179,0.4624472573839662,0.10880303989867,0.2375379280450802,fn<0_inferred,859.0,2192.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2025,7978,2564,7439,0.3180246913580247,0.4613884555382215,0.0865707756418873,0.1482827776385059,fn>=0,644.0,1183.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,803,6562,492,6873,0.6002490660024906,0.3475609756097561,0.0701294922159173,0.0260591283145382,fn>=0_inferred,482.0,171.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2185,7812,2668,7329,0.3189931350114416,0.4422788605697151,0.0951016509755764,0.1510496671786994,fn<0,697.0,1180.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,4210,15790,5232,14768,0.3185273159144893,0.4516437308868501,0.0908044420368364,0.1496516782773907,all,1341.0,2363.0,1.0,0.0
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,4239,15761,5210,14790,0.3154045765510733,0.4429942418426104,0.0903989181879648,0.1464374087938582,all,1337.0,2308.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2093,8021,2625,7489,0.3014811275680841,0.443047619047619,0.0842569101348644,0.1449943897269667,fn<0,631.0,1163.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2933,8660,3815,7778,0.2601431980906921,0.4311926605504587,0.0980971972229364,0.1899538106235565,fn<0_inferred,763.0,1645.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,1306,7101,1395,7012,0.4395099540581929,0.4752688172043011,0.0818596691386195,0.093367131389945,fn>=0_inferred,574.0,663.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2146,7740,2585,7301,0.3289841565703634,0.4429400386847195,0.0966990823174907,0.1479328165374677,fn>=0,706.0,1145.0,1.0,0.066667
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,4214,15786,5340,14660,0.3092074038917893,0.4548689138576779,0.088881309686221,0.1538705181806664,all,1303.0,2429.0,1.0,0.133333
