params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,3454,9191,4748,7897,0.2544875506658946,0.4576663858466723,0.1113080916803849,0.2364269393972364,fn<0_inferred,879.0,2173.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2048,7955,2564,7439,0.31884765625,0.4559282371294851,0.0877806156741497,0.1469516027655562,fn>=0,653.0,1169.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,807,6548,484,6871,0.6034696406443618,0.3388429752066115,0.0708776015136079,0.0250458155161881,fn>=0_inferred,487.0,164.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2213,7784,2668,7329,0.3221870763669227,0.4377811094452773,0.0972847591758766,0.1500513874614594,fn<0,713.0,1168.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,4261,15739,5232,14768,0.3205820229992959,0.4466743119266055,0.0924972914409534,0.1484846559501874,all,1366.0,2337.0,1.0,0.0
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,4183,15817,5210,14790,0.3126942385847477,0.4481765834932821,0.0884381338742393,0.1476259720553834,all,1308.0,2335.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2050,8064,2625,7489,0.2926829268292683,0.4476190476190476,0.0801175056749899,0.1457093253968254,fn<0,600.0,1175.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,3124,8844,4147,7821,0.2471190781049936,0.4328430190499156,0.0987086050377189,0.2029624604251469,fn<0_inferred,772.0,1795.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,1059,6973,1063,6969,0.506137865911237,0.5079962370649106,0.0769120390299899,0.0774415603040298,fn>=0_inferred,536.0,540.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2133,7753,2585,7301,0.3319268635724332,0.448742746615087,0.0969730173948774,0.1496195021282084,fn>=0,708.0,1160.0,1.0,0.066667
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,4259,15741,5340,14660,0.3148626438131017,0.4535580524344569,0.0914733969986357,0.1538657010355123,all,1341.0,2422.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,2081,7904,2692,7293,0.2897645362806343,0.4509658246656761,0.0826820238584944,0.1535931174089068,fn<0,603.0,1214.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,2178,7837,2648,7367,0.3388429752066115,0.4561933534743202,0.1001764626035021,0.1541406150312619,fn>=0,738.0,1208.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,3299,8914,4584,7629,0.238860260685056,0.4522251308900523,0.1032900773364792,0.2325555306259816,fn<0_inferred,788.0,2073.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,960,6827,756,7031,0.5760416666666667,0.4616402116402116,0.0786516853932584,0.0511205507543576,fn>=0_inferred,553.0,349.0,1.0,0.133333
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,3956,16044,5283,14717,0.3129423660262891,0.4855195911413969,0.0841204049738397,0.1598728496634255,all,1238.0,2565.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,1895,8158,2629,7424,0.304485488126649,0.498668695321415,0.0777209051724138,0.1607011522431968,fn<0,577.0,1311.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_no_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,2061,7886,2654,7293,0.3207180980106744,0.4724943481537302,0.0906348553407376,0.159015977681968,fn>=0,661.0,1254.0,1.0,0.2
