params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,3318,8844,4309,7853,0.2471368294153104,0.4202831283360408,0.1044186934929326,0.2047715965626413,fn<0_inferred,820.0,1811.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2035,7968,2643,7360,0.2948402948402948,0.4570563753310632,0.0815217391304347,0.1516064257028112,fn>=0,600.0,1208.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,1009,6829,929,6909,0.5916749256689792,0.5565123789020452,0.0864090316977855,0.0757065456142919,fn>=0_inferred,597.0,517.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2292,7705,2595,7402,0.356457242582897,0.4315992292870905,0.1103755741691434,0.145360155743024,fn<0,817.0,1120.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,4327,15673,5238,14762,0.3274786226022648,0.4444444444444444,0.0959897032922368,0.1485356983347157,all,1417.0,2328.0,1.0,0.0
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,4332,15668,5160,14840,0.3328716528162511,0.439922480620155,0.0971698113207547,0.1448812866990043,all,1442.0,2270.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2140,7974,2616,7498,0.3205607476635514,0.4441896024464832,0.091491064283809,0.145723601705543,fn<0,686.0,1162.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,3411,8715,4417,7709,0.2656112576956904,0.4328729907176817,0.117524970813335,0.2193918531267928,fn<0_inferred,906.0,1912.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,921,6953,743,7131,0.5819761129207384,0.4818304172274562,0.0751647735240499,0.0514885660865813,fn>=0_inferred,536.0,358.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_False/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2192,7694,2544,7342,0.3448905109489051,0.4355345911949685,0.1029692181966766,0.1440083181700026,fn>=0,756.0,1108.0,1.0,0.066667
