params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,bhvr_rate
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,3386,8943,4397,7932,0.2457176609568812,0.4191494200591312,0.1048915784165405,0.2060829699206083,fn<0_inferred,832.0,1843.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2042,7961,2643,7360,0.2918707149853085,0.452894438138479,0.0809782608695652,0.1503579952267303,fn>=0,596.0,1197.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,961,6710,841,6830,0.6139438085327783,0.558858501783591,0.0863836017569546,0.0700447093889716,fn>=0_inferred,590.0,470.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,2305,7692,2595,7402,0.358351409978308,0.4300578034682081,0.1115914617670899,0.1450858034321372,fn<0,826.0,1116.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.000000-notes/run_0,4347,15653,5238,14762,0.3271221532091097,0.4415807560137457,0.0963284107844465,0.1477672011754935,all,1422.0,2313.0,1.0,0.0
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,4358,15642,5160,14840,0.3338687471317118,0.4374031007751938,0.0980458221024258,0.1442910113796189,all,1455.0,2257.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2172,7942,2616,7498,0.328268876611418,0.4422782874617737,0.0950920245398773,0.1456811886174767,fn<0,713.0,1157.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,3309,8593,4242,7660,0.2741009368389241,0.4337576614804337,0.1184073107049608,0.2141277784242988,fn<0_inferred,907.0,1840.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,1049,7049,918,7180,0.5224022878932316,0.4542483660130719,0.0763231197771587,0.0591573272804653,fn>=0_inferred,548.0,417.0,1.0,0.066667
1-r_fun-0.066667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.066667-notes/run_0,2186,7700,2544,7342,0.3394327538883806,0.4323899371069182,0.1010623808226641,0.1428571428571428,fn>=0,742.0,1100.0,1.0,0.066667
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,4223,15777,5381,14619,0.2950509116741653,0.4467571083441739,0.0852315479854983,0.1523737085630981,all,1246.0,2404.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,2013,7971,2723,7261,0.2717337307501242,0.4616232096951891,0.0753339760363586,0.1576966503575461,fn<0,547.0,1257.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,2210,7806,2658,7358,0.316289592760181,0.4315274642588412,0.0949986409350367,0.1469382526261849,fn>=0,699.0,1147.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,3201,8823,4423,7601,0.2277413308341143,0.4411033235360615,0.0959084331009077,0.2211266009293891,fn<0_inferred,729.0,1951.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.133333-notes/run_0,1022,6954,958,7018,0.5058708414872799,0.4728601252609603,0.073667711598746,0.0651423641069887,fn>=0_inferred,517.0,453.0,1.0,0.133333
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,4119,15881,5279,14721,0.3061422675406652,0.4586095851487024,0.0856599415800557,0.1524463195012908,all,1261.0,2421.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,1897,8156,2613,7440,0.3168160253031101,0.5040183696900115,0.0807795698924731,0.1614762138303089,fn<0,601.0,1317.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,2222,7725,2666,7281,0.297029702970297,0.4141035258814703,0.0906468891635764,0.1429126213592233,fn>=0,660.0,1104.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,2848,8159,3560,7447,0.2682584269662921,0.4146067415730337,0.1025916476433463,0.1809045226130653,fn<0_inferred,764.0,1476.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.200000-notes/run_0,1271,7722,1719,7274,0.3910306845003934,0.5497382198952879,0.0683255430299697,0.1223776223776223,fn>=0_inferred,497.0,945.0,1.0,0.2
1-r_fun-0.266667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.266667-notes/run_0,4103,15897,5207,14793,0.3282963685108457,0.4707125024006146,0.0910565808152504,0.1541800339686733,all,1347.0,2451.0,1.0,0.266667
1-r_fun-0.266667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.266667-notes/run_0,2259,7677,2591,7345,0.3421868083222665,0.4264762639907372,0.1052416609938733,0.1439364335026703,fn>=0,773.0,1105.0,1.0,0.266667
1-r_fun-0.266667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.266667-notes/run_0,1844,8220,2616,7448,0.3112798264642082,0.514525993883792,0.0770676691729323,0.1637469586374695,fn<0,574.0,1346.0,1.0,0.266667
1-r_fun-0.266667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias/output_helpfulness_True/data_multi_st_prop_0.2/1-r_fun-0.266667-notes/run_0,1984,7778,2151,7611,0.3623991935483871,0.4119014411901441,0.0944685323873341,0.1139110311133967,fn<0_inferred,719.0,886.0,1.0,0.266667
