params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,st_prop
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,4238,15762,5151,14849,0.328692779613025,0.4476800621238594,0.0938110310458616,0.146301230808273,all,1393.0,2306.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,2007,8107,2581,7533,0.312406576980568,0.4653235180162727,0.0832337714058144,0.1481435796225484,fn<0,627.0,1201.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,2231,7655,2570,7316,0.343343792021515,0.4299610894941634,0.1047020229633679,0.1443500979751796,fn>=0,766.0,1105.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,3058,8479,4257,7280,0.2619359058207979,0.4698144233027954,0.1100274725274725,0.2358768722726736,fn<0_inferred,801.0,2000.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,1180,7283,894,7569,0.5016949152542373,0.3422818791946309,0.0782137666798784,0.0420156528902924,fn>=0_inferred,592.0,306.0,1.0,0.016667
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,1975,8007,2695,7287,0.3058227848101266,0.4912801484230055,0.0828873336077947,0.1653553141001623,fn<0,604.0,1324.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,2179,7839,2604,7414,0.320330426801285,0.4312596006144393,0.0941462098732128,0.1432580686312029,fn>=0,698.0,1123.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,4154,15846,5299,14701,0.3134328358208955,0.4617852424985846,0.088565403714033,0.1544238293575665,all,1302.0,2447.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,1950,7812,2427,7335,0.3287179487179487,0.4606510094767202,0.087389229720518,0.1431131592421915,fn>=0_inferred,641.0,1118.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,2204,8034,2872,7366,0.2999092558983666,0.4627437325905292,0.0897366277491175,0.1654219566840926,fn<0_inferred,661.0,1329.0,1.0,0.033333
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.050000-notes/run_0,4035,15965,5263,14737,0.3251548946716233,0.482614478434353,0.0890276175612404,0.1590980269339179,all,1312.0,2540.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.050000-notes/run_0,2757,8935,3954,7738,0.2335872324990932,0.4656044511886697,0.0832256397001809,0.2060436485730274,fn<0_inferred,644.0,1841.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.050000-notes/run_0,2321,7626,2652,7295,0.3334769495906937,0.4166666666666667,0.1061000685400959,0.1448990296354576,fn>=0,774.0,1105.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.050000-notes/run_0,1278,7030,1309,6999,0.5226917057902973,0.5339954163483576,0.0954422060294327,0.0994310099573257,fn>=0_inferred,668.0,699.0,1.0,0.05
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.050000-notes/run_0,1714,8339,2611,7442,0.3138856476079346,0.5495978552278821,0.0722923945176027,0.1720829835711716,fn<0,538.0,1435.0,1.0,0.05
1-r_fun-0.083333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.083333-notes/run_0,2284,7781,2662,7403,0.3156742556917688,0.4128474830954169,0.0973929488045387,0.1412414856702223,fn>=0,721.0,1099.0,1.0,0.083333
1-r_fun-0.083333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.083333-notes/run_0,1404,7402,1241,7565,0.4643874643874643,0.3940370668815471,0.086186384666226,0.0660632261550932,fn>=0_inferred,652.0,489.0,1.0,0.083333
1-r_fun-0.083333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.083333-notes/run_0,1657,8278,2626,7309,0.3053711526855763,0.5616907844630616,0.0692297167875222,0.178183136023194,fn<0,506.0,1475.0,1.0,0.083333
1-r_fun-0.083333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.083333-notes/run_0,3941,16059,5288,14712,0.3113422989089063,0.4867624810892587,0.0834013050570962,0.1602839529235942,all,1227.0,2574.0,1.0,0.083333
1-r_fun-0.083333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.083333-notes/run_0,2537,8657,4047,7147,0.2266456444619629,0.5151964418087472,0.0804533370645025,0.2408455585075661,fn<0_inferred,575.0,2085.0,1.0,0.083333
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.100000-notes/run_0,2348,7601,2568,7381,0.3909710391822828,0.4431464174454829,0.124373391139412,0.1497171424812524,fn>=0,918.0,1138.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.100000-notes/run_0,750,6803,284,7269,0.804,0.4823943661971831,0.082955014444903,0.0201381743348522,fn>=0_inferred,603.0,137.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.100000-notes/run_0,3458,16542,5206,14794,0.3666859456333141,0.5793315405301576,0.085710423144518,0.1823237818885262,all,1268.0,3016.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.100000-notes/run_0,2708,9739,4922,7525,0.2455686853766617,0.5849248273059732,0.0883720930232558,0.2956155662799055,fn<0_inferred,665.0,2879.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.100000-notes/run_0,1110,8941,2638,7413,0.3153153153153153,0.7119029567854435,0.0472143531633616,0.2100436192819595,fn<0,350.0,1878.0,1.0,0.1
1-r_fun-0.116667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.116667-notes/run_0,1159,7463,1091,7531,0.5237273511647972,0.4940421631530706,0.080600185898287,0.0722229666354013,fn>=0_inferred,607.0,539.0,1.0,0.116667
1-r_fun-0.116667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.116667-notes/run_0,3600,16400,5119,14881,0.3380555555555555,0.5344793905059582,0.0817821382971574,0.1668292682926829,all,1217.0,2736.0,1.0,0.116667
1-r_fun-0.116667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.116667-notes/run_0,1284,8719,2554,7449,0.3395638629283489,0.6679718089271731,0.0585313464894616,0.1956646404404174,fn<0,436.0,1706.0,1.0,0.116667
1-r_fun-0.116667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.116667-notes/run_0,2441,8937,4028,7350,0.2498975829578041,0.5454319761668321,0.0829931972789115,0.2458319346536869,fn<0_inferred,610.0,2197.0,1.0,0.116667
1-r_fun-0.116667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.116667-notes/run_0,2316,7681,2565,7432,0.3372193436960276,0.4015594541910331,0.105086114101184,0.1340971227704726,fn>=0,781.0,1030.0,1.0,0.116667
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.133333-notes/run_0,1024,6966,921,7069,0.6435546875,0.6036916395222585,0.0932239354929976,0.079816250358886,fn>=0_inferred,659.0,556.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.133333-notes/run_0,3600,16400,5213,14787,0.3530555555555555,0.5532323038557453,0.0859538784067086,0.1758536585365853,all,1271.0,2884.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.133333-notes/run_0,2323,7669,2579,7413,0.3646147223417994,0.4276851492826677,0.1142587346553352,0.1438257921502151,fn>=0,847.0,1103.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.133333-notes/run_0,1277,8731,2634,7374,0.3320281910728269,0.6761579347000759,0.0574993219419582,0.2039857977322185,fn<0,424.0,1781.0,1.0,0.133333
1-r_fun-0.133333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.133333-notes/run_0,2576,9434,4292,7718,0.2375776397515528,0.5424044734389561,0.079295154185022,0.2467670129319482,fn<0_inferred,612.0,2328.0,1.0,0.133333
1-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.150000-notes/run_0,2345,7687,2625,7407,0.3339019189765458,0.4049523809523809,0.1057108140947752,0.138285416937687,fn>=0,783.0,1063.0,1.0,0.15
1-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.150000-notes/run_0,1165,8803,2589,7379,0.3433476394849785,0.7045191193511008,0.0542078872475945,0.2072020901965239,fn<0,400.0,1824.0,1.0,0.15
1-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.150000-notes/run_0,2179,9158,3994,7343,0.2257916475447453,0.5776164246369554,0.0670025874982977,0.2519108975758899,fn<0_inferred,492.0,2307.0,1.0,0.15
1-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.150000-notes/run_0,1331,7332,1220,7443,0.5191585274229902,0.4754098360655737,0.0928389090420529,0.0791052918712493,fn>=0_inferred,691.0,580.0,1.0,0.15
1-r_fun-0.150000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.150000-notes/run_0,3510,16490,5214,14786,0.337037037037037,0.5537015726889145,0.0800081157852022,0.1750758035172832,all,1183.0,2887.0,1.0,0.15
1-r_fun-0.166667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.166667-notes/run_0,2205,9438,4261,7382,0.2231292517006802,0.5979816944379254,0.0666486047141696,0.2699724517906336,fn<0_inferred,492.0,2548.0,1.0,0.166667
1-r_fun-0.166667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.166667-notes/run_0,1081,7276,1003,7354,0.5818686401480111,0.5493519441674976,0.085531683437585,0.0757284222100055,fn>=0_inferred,629.0,551.0,1.0,0.166667
1-r_fun-0.166667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.166667-notes/run_0,2257,7680,2589,7348,0.3451484271156402,0.429123213595983,0.1060152422427871,0.1446614583333333,fn>=0,779.0,1111.0,1.0,0.166667
1-r_fun-0.166667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.166667-notes/run_0,1029,9034,2675,7388,0.3323615160349854,0.743177570093458,0.0462912831618841,0.220057560327651,fn<0,342.0,1988.0,1.0,0.166667
1-r_fun-0.166667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.166667-notes/run_0,3286,16714,5264,14736,0.3411442483262325,0.5887158054711246,0.07607220412595,0.1854134258705277,all,1121.0,3099.0,1.0,0.166667
1-r_fun-0.183333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.183333-notes/run_0,1739,9770,4304,7205,0.2489936745255894,0.6965613382899628,0.0600971547536433,0.3068577277379734,fn<0_inferred,433.0,2998.0,1.0,0.183333
1-r_fun-0.183333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.183333-notes/run_0,3076,16924,5271,14729,0.3836150845253576,0.6402959590210586,0.0801140606965849,0.1994209406759631,all,1180.0,3375.0,1.0,0.183333
1-r_fun-0.183333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.183333-notes/run_0,1337,7154,967,7524,0.5587135377711294,0.389865563598759,0.0992822966507177,0.0526977914453452,fn>=0_inferred,747.0,377.0,1.0,0.183333
1-r_fun-0.183333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.183333-notes/run_0,2552,7533,2731,7354,0.3620689655172414,0.4038813621384108,0.1256459069893935,0.1464224080711536,fn>=0,924.0,1103.0,1.0,0.183333
1-r_fun-0.183333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.183333-notes/run_0,524,9391,2540,7375,0.4885496183206106,0.8944881889763779,0.0347118644067796,0.2419337663720583,fn<0,256.0,2272.0,1.0,0.183333
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.200000-notes/run_0,1899,9826,4995,6730,0.2575039494470774,0.7177177177177178,0.0726597325408618,0.3648483614899246,fn<0_inferred,489.0,3585.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.200000-notes/run_0,2582,7433,2683,7332,0.3733539891556932,0.396943719716735,0.1314784506273868,0.1432799677115565,fn>=0,964.0,1065.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.200000-notes/run_0,195,9790,2684,7301,1.0,1.0,0.0267086700451992,0.2741573033707865,fn<0,195.0,2684.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.200000-notes/run_0,2777,17223,5367,14633,0.4173568599207778,0.6985280417365382,0.0792045376887856,0.217674040527202,all,1159.0,3749.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.200000-notes/run_0,878,7397,372,7903,0.7630979498861048,0.4408602150537634,0.0847779324307225,0.0221711504664053,fn>=0_inferred,670.0,164.0,1.0,0.2
1-r_fun-0.216667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.216667-notes/run_0,2685,17315,5309,14691,0.4353817504655493,0.7144471651911848,0.0795725273977265,0.219058619693907,all,1169.0,3793.0,1.0,0.216667
1-r_fun-0.216667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.216667-notes/run_0,1470,10145,4647,6968,0.2673469387755102,0.7682375726275016,0.0564006888633754,0.3518974864465254,fn<0_inferred,393.0,3570.0,1.0,0.216667
1-r_fun-0.216667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.216667-notes/run_0,231,9736,2649,7318,0.9913419913419912,0.9992449981124952,0.0312927029242962,0.2718775677896466,fn<0,229.0,2647.0,1.0,0.216667
1-r_fun-0.216667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.216667-notes/run_0,2454,7579,2660,7373,0.3830480847595762,0.4308270676691729,0.127492201274922,0.1512072832827549,fn>=0,940.0,1146.0,1.0,0.216667
1-r_fun-0.216667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.216667-notes/run_0,1215,7170,662,7723,0.6386831275720165,0.3368580060422961,0.1004790884371358,0.0311018131101813,fn>=0_inferred,776.0,223.0,1.0,0.216667
1-r_fun-0.233333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.233333-notes/run_0,2845,17155,5254,14746,0.4492091388400703,0.7017510468214694,0.0866675708666757,0.2149227630428446,all,1278.0,3687.0,1.0,0.233333
1-r_fun-0.233333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.233333-notes/run_0,265,9783,2652,7396,1.0,1.0,0.0358301784748512,0.2710824900337319,fn<0,265.0,2652.0,1.0,0.233333
1-r_fun-0.233333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.233333-notes/run_0,2580,7372,2602,7350,0.3926356589147287,0.3977709454265949,0.1378231292517006,0.1403960933260987,fn>=0,1013.0,1035.0,1.0,0.233333
1-r_fun-0.233333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.233333-notes/run_0,1851,9494,4582,6763,0.2922744462452728,0.7140986468790921,0.0799940854650303,0.344638719191068,fn<0_inferred,541.0,3272.0,1.0,0.233333
1-r_fun-0.233333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.233333-notes/run_0,994,7661,672,7983,0.7414486921529175,0.6175595238095238,0.0923211825128397,0.0541704738284819,fn>=0_inferred,737.0,415.0,1.0,0.233333
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.250000-notes/run_0,2818,17182,5076,14924,0.4985805535841022,0.7216312056737588,0.0941436612168319,0.2131882202304737,all,1405.0,3663.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.250000-notes/run_0,293,9577,2561,7309,1.0,1.0,0.0400875632781502,0.2674115067348857,fn<0,293.0,2561.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.250000-notes/run_0,982,7678,267,8393,0.835030549898167,0.3932584269662921,0.0977004646729417,0.0136754363115394,fn>=0_inferred,820.0,105.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.250000-notes/run_0,1836,9504,4809,6531,0.3186274509803921,0.7398627573300063,0.0895728066146072,0.3743686868686868,fn<0_inferred,585.0,3558.0,1.0,0.25
1-r_fun-0.250000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/1-r_fun-0.250000-notes/run_0,2525,7605,2515,7615,0.4403960396039604,0.4381709741550695,0.1460275771503611,0.144904667981591,fn>=0,1112.0,1102.0,1.0,0.25
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/10-r_fun-0.000000-notes/run_0,2191,7653,2545,7299,0.3194888178913738,0.4141453831041257,0.0959035484312919,0.1377237684568143,fn<0,700.0,1054.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/10-r_fun-0.000000-notes/run_0,2132,8024,2596,7560,0.3067542213883677,0.4306625577812018,0.0865079365079365,0.1393320039880358,fn>=0,654.0,1118.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_False/data_multi_bhvr_1/10-r_fun-0.000000-notes/run_0,1428,7238,1634,7032,0.4334733893557423,0.5048959608323134,0.0880261660978384,0.1139817629179331,fn>=0_inferred,619.0,825.0,10.0,0.0
