params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,st_prop
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,2283,7714,2553,7444,0.3508541392904074,0.4195064629847238,0.1076034390112842,0.1388384754990925,fn<0,801.0,1071.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,2102,7901,2627,7376,0.2992388201712654,0.4392843547773125,0.0852765726681128,0.1460574610808758,fn>=0,629.0,1154.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,3525,8963,4498,7990,0.2539007092198581,0.4152956869719875,0.1120150187734668,0.2084123619323887,fn<0_inferred,895.0,1868.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,860,6652,682,6830,0.622093023255814,0.5234604105571847,0.0783308931185944,0.0536680697534576,fn>=0_inferred,535.0,357.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.000000-notes/run_0,4385,15615,5180,14820,0.3261117445838084,0.4295366795366795,0.0964912280701754,0.1424911943643932,all,1430.0,2225.0,1.0,0.0
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,911,6981,580,7312,0.6081229418221734,0.3844827586206896,0.0757658643326039,0.0319438475863056,fn>=0_inferred,554.0,223.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,3443,8665,4605,7503,0.2634330525704327,0.4492942453854506,0.1208849793415967,0.2387766878245816,fn<0_inferred,907.0,2069.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,2244,7642,2582,7304,0.3520499108734403,0.4368706429124709,0.1081599123767798,0.147605338916514,fn>=0,790.0,1128.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,2110,8004,2603,7511,0.3180094786729858,0.4471763349980791,0.089335641059779,0.1454272863568216,fn<0,671.0,1164.0,1.0,0.016667
1-r_fun-0.016667,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.016667-notes/run_0,4354,15646,5185,14815,0.3355535140101056,0.4420443587270974,0.0986162672966587,0.1464911159401764,all,1461.0,2292.0,1.0,0.016667
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,948,7057,805,7200,0.5253164556962026,0.4409937888198758,0.0691666666666666,0.050304662037693,fn>=0_inferred,498.0,355.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,3349,8646,4515,7480,0.2493281576590026,0.4431893687707641,0.1116310160427807,0.2314365024288688,fn<0_inferred,835.0,2001.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,2100,7916,2632,7384,0.3,0.4414893617021276,0.0853196099674973,0.1467913087417887,fn>=0,630.0,1162.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,2197,7787,2688,7296,0.3199817933545744,0.4441964285714285,0.0963541666666666,0.1533324772055991,fn<0,703.0,1194.0,1.0,0.033333
1-r_fun-0.033333,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.033333-notes/run_0,4297,15703,5320,14680,0.3102164300674889,0.4428571428571428,0.0908038147138964,0.1500350251544291,all,1333.0,2356.0,1.0,0.033333
1-r_fun-0.050000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/multi_bad_actor_with_bias_bhvr_1/output_helpfulness_True/data_multi_bhvr_1/1-r_fun-0.050000-notes/run_0,1290,7378,1469,7199,0.3976744186046511,0.471068754254595,0.0712598972079455,0.0937923556519381,fn>=0_inferred,513.0,692.0,1.0,0.05
