params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,mu_fnr
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,2262,7735,2626,7371,0.3443854995579133,0.4352627570449353,0.1056844390177723,0.1477698771816419,fn<0,779.0,1143.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,4269,15731,5193,14807,0.3300538767861325,0.4492586173695359,0.0951576956844735,0.1483058928230881,all,1409.0,2333.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,790,6508,384,6914,0.6759493670886076,0.3333333333333333,0.0772345964709285,0.0196681007990165,fn>=0_inferred,534.0,128.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,3479,9223,4809,7893,0.2515090543259557,0.4585152838427948,0.1108577220321804,0.2390762224872601,fn<0_inferred,875.0,2205.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,2007,7996,2567,7436,0.3139013452914798,0.4635761589403973,0.0847229693383539,0.148824412206103,fn>=0,630.0,1190.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,4278,15722,5147,14853,0.316503038803179,0.4319020788809015,0.0911600350097623,0.141394224653352,all,1354.0,2223.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2119,8031,2628,7522,0.2987258140632374,0.4345509893455099,0.0841531507577771,0.1421989789565434,fn<0,633.0,1142.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,1046,6885,846,7085,0.5592734225621415,0.4550827423167848,0.0825688073394495,0.055918663761801,fn>=0_inferred,585.0,385.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2159,7691,2519,7331,0.333950903195924,0.4291385470424771,0.0983494748329013,0.1405538941620075,fn>=0,721.0,1081.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,3232,8837,4301,7768,0.2379331683168316,0.4273424784933736,0.0989958805355303,0.2079891365848138,fn<0_inferred,769.0,1838.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2618,8044,2948,7714,0.3051948051948052,0.3829715061058344,0.1035779102929738,0.1403530581800099,fn<0_inferred,799.0,1129.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2115,7974,2456,7633,0.3451536643026004,0.4360749185667752,0.0956373640770339,0.1343115124153499,fn>=0,730.0,1071.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2177,7734,2404,7507,0.3449701423977951,0.4068219633943428,0.1000399627014786,0.1264546159813809,fn<0,751.0,978.0,1.0,0.2
