params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,mu_fnr
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2302,7695,2626,7371,0.3514335360556038,0.4314546839299314,0.1097544430877764,0.1472384665367121,fn<0,809.0,1133.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,4338,15662,5193,14807,0.3342554172429691,0.4438667436934335,0.0979266563112041,0.1471714978929894,all,1450.0,2305.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,797,6471,368,6900,0.6913425345043914,0.3315217391304347,0.0798550724637681,0.0188533456961829,fn>=0_inferred,551.0,122.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,3541,9191,4825,7907,0.2538830838746116,0.4524352331606218,0.1136967244213987,0.2375149602872375,fn<0_inferred,899.0,2183.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2036,7967,2567,7436,0.3148330058939096,0.4565640825866771,0.0862022592791823,0.1471068156144094,fn>=0,641.0,1172.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,4342,15658,5147,14853,0.3201289728235836,0.4264620167087624,0.093583787786979,0.1401839315365947,all,1390.0,2195.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2148,8002,2628,7522,0.3012104283054003,0.4288432267884323,0.0860143578835416,0.1408397900524868,fn<0,647.0,1127.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,1168,6986,959,7195,0.5282534246575342,0.4254431699687174,0.0857539958304378,0.058402519324363,fn>=0_inferred,617.0,408.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2194,7656,2519,7331,0.3386508659981768,0.4239777689559349,0.1013504296821716,0.1394984326018808,fn>=0,743.0,1068.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,3174,8672,4188,7658,0.2435412728418399,0.4266953199617956,0.1009401932619483,0.2060654981549815,fn<0_inferred,773.0,1787.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2573,7994,2873,7694,0.3116984065293431,0.3835711799512704,0.104237067845074,0.1378533900425319,fn<0_inferred,802.0,1102.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2127,7962,2456,7633,0.3460272684532205,0.4336319218241042,0.0964234246036944,0.1337603617181612,fn>=0,736.0,1065.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2196,7715,2404,7507,0.3469945355191257,0.4034941763727121,0.1015052617556946,0.1257290991574854,fn<0,762.0,970.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,4323,15677,4860,15140,0.3465186213277816,0.4187242798353909,0.0989431968295904,0.1298079989793965,all,1498.0,2035.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,1750,7683,1987,7446,0.3977142857142857,0.4695520885757423,0.0934730056406124,0.1214369386958219,fn>=0_inferred,696.0,933.0,1.0,0.2
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2047,7949,2253,7743,0.3654127992183683,0.4234354194407457,0.0966033837014077,0.1200150962385205,fn<0,748.0,954.0,1.0,0.3
