params,run_result_dir,condition,status,corr_in,corr_in_p,corr_fn_abs,corr_fn_abs_p,avg_in,avg_in_hat,avg_fn_hat_abs,avg_fn_abs,avg_helpfulness,avg_helpfulness_hat,no_run,mu_fnr
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,publishable,-0.1905240372125611,0.0002367531621915,0.4435798141461012,3.5861834283664565e-19,0.5683924592391305,0.4272216334782608,0.0610153965050543,0.3146979155625,1.0,0.6684782608695652,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublished,0.5052971436740574,0.0,0.571015779396415,0.0,-0.0791109434089167,0.0015346769550475,0.2648605823343734,0.4450703186733581,0.0188533456961829,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,unpublishable,0.5428639448855468,0.0,0.5350935017946441,0.0,-0.0409202305505942,0.0346382099313207,0.2618016696037145,0.4573484450235217,0.0,0.0798550724637681,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,published,0.2488756717589808,3.039253108775724e-62,0.4049063862357272,7.515346487598584e-171,0.728869490318119,0.496392062593361,0.0992273270536675,0.3344236387956431,0.6657445827570309,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublished,0.5449871222081527,0.0,0.5402425388223056,0.0,0.1164666184799003,0.0637854270952798,0.2618659737034861,0.4188032973648576,0.1471714978929894,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,publishable,0.0802471200194085,7.007112589648196e-09,0.1117270934385267,6.765154246722235e-16,0.7461953720392837,0.399520244047564,0.1060672056031914,0.2308019085834585,1.0,0.5561332563065665,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,published,0.2463896168755407,3.526429912914918e-33,0.4043271965898495,2.8895240242983647e-91,0.7217890812337099,0.4974557261859252,0.0868104272509165,0.3377270278542137,0.6485664639443962,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublished,0.5258322573288836,0.0,0.5511019883809054,0.0,0.1092838889830929,0.0673124931314896,0.247392354328259,0.4195821415553086,0.1472384665367121,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,publishable,0.102135101705409,1.5620397371138096e-07,-0.0163416217651844,0.4025500656532789,0.7498466203351104,0.4028390517658035,0.0926307331152829,0.2319020639736861,1.0,0.5685453160700685,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0,unpublishable,0.5898120608880942,0.0,0.4940229753486195,0.0,0.072364776248121,0.0821133314868827,0.2523773524524257,0.4608814784145434,0.0,0.1097544430877764,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,all,unpublishable,0.6130434039977666,0.0,0.4793497315386963,0.0,0.0750282610003512,0.0727795974442677,0.2688583795640871,0.4600170647092591,0.0,0.0979266563112041,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublished,0.5638671562523168,0.0,0.5332116645342995,0.0,0.1234041236233588,0.0603787780242826,0.2758454516867135,0.4180510435622316,0.1471068156144094,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,published,0.253561120143943,3.0883035608514653e-31,0.421158335013213,2.415299204999747e-88,0.7368749430255402,0.4951894331286837,0.1132664740801571,0.3306886674730354,0.6851669941060904,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublishable,0.6603771409091514,0.0,0.4303403030032438,0.0,0.1762100735337422,0.1060634691831491,0.2750163786442148,0.4623458209798533,0.0,0.1136967244213987,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,publishable,0.1055631299308734,1.962931178150216e-13,0.1236004298893336,6.909663359854759e-18,0.7597562988601038,0.3974074748640414,0.1095032814059094,0.2244032079475441,1.0,0.5475647668393783,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,unpublished,0.5596464747480687,0.0,0.5166310714184034,0.0,0.2541646277261777,0.1076135855282515,0.2597575945879958,0.4003097825256337,0.2375149602872375,0.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0_inferred,published,0.3290517060282339,1.4020803603818868e-21,0.3964312238452877,2.1614124918582064e-31,0.550496548306148,0.4846804455081555,0.1442564089005771,0.4911707295533249,0.3086574654956085,1.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,unpublishable,0.639850992572408,0.0,0.4686086777747988,0.0,0.0776684635432087,0.0635274519859413,0.2851953417534437,0.4591602070678321,0.0,0.0862022592791823,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn>=0,publishable,0.0564308295454777,0.004236588302346,0.2374197044875402,3.1870786408860127e-34,0.7424602033502142,0.3961251567596416,0.1198125023516322,0.2296764671908842,1.0,0.543435917413323,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,fn<0_inferred,published,0.218578121300237,1.4588519293555118e-39,0.3544347825904982,2.5827677707284668e-105,0.7690172550127082,0.4990280859813611,0.0890922866040807,0.2991433701331544,0.7461169161253883,1.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,unpublishable,0.621027690061171,0.0,0.4863893907062552,0.0,0.0703950459136543,0.077546179764826,0.2480766749977474,0.464421062127677,0.0,0.1013504296821716,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0_inferred,publishable,-0.1009391951938714,0.0017493901533187,0.4156542925997279,2.3716387336048133e-41,0.6615022857142857,0.409049030286757,0.0677878609839551,0.2632131317351407,1.0,0.5745568300312826,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0_inferred,unpublished,0.5166627614329281,0.0,0.5540833725904843,0.0,-0.0006586552429144,0.0365284597375479,0.2468512106130148,0.4354803636411394,0.058402519324363,0.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0_inferred,published,0.2531025257821768,1.574987951063468e-18,0.4389466840099214,3.4198978091880507e-56,0.6187761104452055,0.486108615719178,0.1256765719858844,0.4249388444871574,0.4717465753424658,1.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,unpublishable,0.674369779088649,0.0,0.4952440290433151,0.0,0.1266108588640767,0.0762160985207551,0.2723057769389452,0.473106816168843,0.0,0.1009401932619483,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,publishable,0.1485235921029794,4.35395095187194e-22,0.2016540786019687,1.1179172152147207e-39,0.76954632330468,0.41084913627149,0.0968691904875976,0.2238205563655205,1.0,0.5733046800382043,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,unpublished,0.5877234891526905,0.0,0.5579627092877335,0.0,0.196119965542101,0.0791764281442508,0.2552123069894057,0.4179556137859779,0.2060654981549815,0.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0_inferred,published,0.2547793304628512,3.2718350848957155e-48,0.4097153407292661,9.205690434271676e-129,0.7850326458727159,0.5096663769092628,0.0875251050246928,0.2948649670850031,0.7564587271581601,1.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,publishable,0.1051188306585679,1.2371956837200246e-07,0.1302075140697967,5.389158542221039e-11,0.7525604080984517,0.4112946025613338,0.0784865078529031,0.2320885838423183,1.0,0.5760222310440651,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,unpublished,0.5470248717994062,0.0,0.5469348474767521,0.0,0.1038660348214472,0.0652956652505146,0.2378232979384529,0.4230579060522466,0.1394984326018808,0.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0,published,0.279539834736979,1.1329989269767264e-40,0.4400937775473541,1.3114604800852264e-104,0.7368128473108478,0.5034815563126709,0.0891442336705346,0.3420103101279854,0.6613491340018232,1.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn>=0_inferred,unpublishable,0.5720781843544959,0.0,0.5085047114927244,0.0,0.0116398109066018,0.0598588829522599,0.2510471486780294,0.4567300899824878,0.0,0.0857539958304378,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,all,unpublished,0.5627751248630404,0.0,0.5552356369518665,0.0,0.10832488029468,0.060148537782185,0.2514819059621055,0.4257744860869205,0.1401839315365947,0.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,all,publishable,0.108051947791426,7.676398313146339e-15,0.2157252407288137,2.9465158246832908e-55,0.7494153281523217,0.4105137366912765,0.0914506952488191,0.2311602648907713,1.0,0.5735379832912376,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,all,unpublishable,0.6300711895991256,0.0,0.5013416397927998,0.0,0.0709172824785632,0.0682924355560124,0.2620078014230704,0.4651737019891604,0.0,0.093583787786979,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,all,published,0.2855905515159999,2.782960046479022e-82,0.4420189597520234,3.702661646431235e-207,0.7403095612620911,0.5033293282980195,0.0977878672104762,0.3298549000204513,0.6798710271764163,1.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0,unpublished,0.5783733048662696,0.0,0.5641618281488678,0.0,0.1125909289004124,0.0552239679374547,0.2645499268355227,0.4283736034007748,0.1408397900524868,0.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0,publishable,0.1109185163588711,1.1909068102227261e-08,0.2921029747986192,7.392869555787992e-53,0.7464006948249619,0.4097652583325722,0.1038771747200186,0.2302704492747336,1.0,0.5711567732115678,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0,unpublishable,0.6399718549675708,0.0,0.516795415962243,0.0,0.0714262583170832,0.0592736641129371,0.2755851861377796,0.4659072306816006,0.0,0.0860143578835416,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,fn<0,published,0.2922664923728376,1.4427556161577213e-43,0.4583237528840687,4.922999363145551e-112,0.7438811582867783,0.5031738402793297,0.1066166064966177,0.3174391785232774,0.6987895716945997,1.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,fn<0,unpublished,0.5657060258386363,0.0,0.529747121601425,0.0,0.1158917788408295,0.0604968093957628,0.2490543146644617,0.4571471162797129,0.1257290991574854,0.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,fn>=0_inferred,unpublished,0.5650002949484462,0.0,0.5232642321312992,0.0,0.1189460690030847,0.0672588929875641,0.2520715104153368,0.4563099291304178,0.1214369386958219,0.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,all,published,0.2618709051301174,1.0169928835610551e-68,0.4608145127405554,2.807064975945043e-226,0.744513202174416,0.5006512418459403,0.0881827311938006,0.3573440497461022,0.6534813786722183,1.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,all,unpublished,0.5733632425125742,0.0,0.528608922787275,0.0,0.1140491066134911,0.0611373376955454,0.2470610913032975,0.4537602175060907,0.1298079989793965,0.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,all,publishable,0.0696240011423764,1.1834148481516306e-06,0.2418218139532594,1.2829787825804577e-65,0.7502779318930042,0.4128411450133745,0.0689287587560658,0.2334085804126749,1.0,0.581275720164609,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,all,unpublishable,0.6520807728287132,0.0,0.4609134403688512,0.0,0.0898367020065852,0.0737356272647335,0.2588769423882507,0.4969637751710558,0.0,0.0989431968295904,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,fn<0,published,0.2629093194455502,4.836824769798216e-36,0.4839461644708471,2.617959631505905e-129,0.7435540546448088,0.4989055140755919,0.0914299163709854,0.3549301197677141,0.6530054644808743,1.0,1.0,0.2
