params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,mu_fur
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,2160,7843,2582,7421,0.3296296296296296,0.4391944229279628,0.095943942864843,0.1445875302817799,fn>=0,712.0,1134.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,4370,15630,5185,14815,0.3276887871853547,0.4333654773384763,0.0966587917651029,0.1437619961612284,all,1432.0,2247.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,1909,7994,2559,7344,0.3677317967522263,0.5283313794450958,0.0955882352941176,0.1691268451338504,fn<0_inferred,702.0,1352.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,2461,7636,2626,7471,0.2966273872409589,0.3408225437928408,0.097711149779146,0.1172079622839182,fn>=0_inferred,730.0,895.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.000000-notes/run_0,2210,7787,2603,7394,0.3257918552036199,0.4275835574337303,0.0973762510143359,0.1429305252343649,fn<0,720.0,1113.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,3480,8824,4673,7631,0.2557471264367816,0.445752193451744,0.116629537413183,0.2360607434270172,fn<0_inferred,890.0,2083.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,4376,15624,5165,14835,0.3377513711151736,0.4389157792836399,0.0996292551398719,0.1450972862263184,all,1478.0,2267.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,896,6800,492,7204,0.65625,0.3739837398373983,0.0816213214880621,0.0270588235294117,fn>=0_inferred,588.0,184.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2120,7994,2644,7470,0.3084905660377358,0.4455370650529501,0.0875502008032128,0.1473605203902927,fn<0,654.0,1178.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.100000-notes/run_0,2256,7630,2521,7365,0.3652482269503546,0.4319714399047997,0.1118805159538357,0.1427260812581913,fn>=0,824.0,1089.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,2643,8036,3191,7488,0.2663639803253878,0.3923534942024443,0.094017094017094,0.1557989049278247,fn>=0_inferred,704.0,1252.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,1612,7709,2016,7305,0.3380893300248139,0.470734126984127,0.0746064339493497,0.1231028667790893,fn<0_inferred,545.0,949.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,4255,15745,5207,14793,0.2935370152761457,0.422700211254081,0.0844318258635841,0.1397904096538583,all,1249.0,2201.0,1.0,0.2
