params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,mu_fur
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2185,7818,2582,7421,0.3327231121281464,0.4353214562354763,0.0979652337959843,0.1437707853671015,fn>=0,727.0,1124.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,4405,15595,5185,14815,0.3291713961407491,0.4300867888138862,0.0978737765777927,0.1429945495351074,all,1450.0,2230.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,1778,7896,2372,7302,0.3937007874015748,0.545531197301855,0.0958641468090934,0.1638804457953394,fn<0_inferred,700.0,1294.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2627,7699,2813,7513,0.2854967643700038,0.3327408460718095,0.0998269665912418,0.121574230419535,fn>=0_inferred,750.0,936.0,1.0,0.0
1-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.000000-notes/run_0,2220,7777,2603,7394,0.3256756756756757,0.4248943526699961,0.0977819853935623,0.1422142214221422,fn<0,723.0,1106.0,1.0,0.0
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,3472,8939,4718,7693,0.2514400921658986,0.4491309877066554,0.1134797868191862,0.2370511242868329,fn<0_inferred,873.0,2119.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,4313,15687,5165,14835,0.3329469047067007,0.4429816069699903,0.0967981125716211,0.1458532542869892,all,1436.0,2288.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,841,6748,447,7142,0.6694411414982164,0.378076062639821,0.0788294595351442,0.0250444576170717,fn>=0_inferred,563.0,169.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2075,8039,2644,7470,0.3012048192771084,0.451588502269289,0.0836680053547523,0.1485259360616992,fn<0,625.0,1194.0,1.0,0.1
1-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.100000-notes/run_0,2238,7648,2521,7365,0.3623771224307417,0.4339547798492661,0.1101154107264087,0.1430439330543933,fn>=0,811.0,1094.0,1.0,0.1
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2711,8032,3258,7485,0.2578384360014755,0.3824432166973603,0.0933867735470941,0.1551294820717131,fn>=0_inferred,699.0,1246.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,1530,7727,1949,7308,0.3516339869281046,0.4910210364289379,0.0736179529282977,0.1238514300504723,fn<0_inferred,538.0,957.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,4241,15759,5207,14793,0.2916764913935392,0.4230843095832533,0.0836206313797066,0.1397931340821118,all,1237.0,2203.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2174,7764,2562,7376,0.3086476540938362,0.4133489461358314,0.0909707158351409,0.1363987635239567,fn<0,671.0,1059.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2067,7995,2645,7417,0.2738268021286889,0.4325141776937618,0.0763111770257516,0.1430894308943089,fn>=0,566.0,1144.0,1.0,0.2
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,4098,15902,5263,14737,0.2847730600292826,0.4430932927987839,0.0791884372667435,0.1466482203496415,all,1167.0,2332.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2038,8016,2648,7406,0.2880274779195289,0.4520392749244713,0.0792600594112881,0.1493263473053892,fn<0,587.0,1197.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,1322,7715,1347,7690,0.3956127080181543,0.406829992576095,0.0680104031209362,0.0710304601425794,fn>=0_inferred,523.0,548.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2776,8187,3916,7047,0.2319884726224783,0.4555669050051072,0.0913864055626507,0.2179064370343227,fn<0_inferred,644.0,1784.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2060,7886,2615,7331,0.2815533980582524,0.4340344168260038,0.0791160823898513,0.1439259447121481,fn>=0,580.0,1135.0,1.0,0.3
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1923,8075,2552,7446,0.2704108164326573,0.4502351097178683,0.069836153639538,0.1422910216718266,fn<0,520.0,1149.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,3950,16050,5110,14890,0.2931645569620253,0.4536203522504892,0.0777703156480859,0.144423676012461,all,1158.0,2318.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,2413,8469,3481,7401,0.2329050973891421,0.4682562482045389,0.0759356843669774,0.1924666430511276,fn<0_inferred,562.0,1630.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1537,7581,1629,7489,0.3877683799609629,0.4223449969306322,0.07958338897049,0.0907531987864397,fn>=0_inferred,596.0,688.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,2027,7975,2558,7444,0.3147508633448446,0.4569976544175136,0.0857066093498119,0.1465830721003135,fn>=0,638.0,1169.0,1.0,0.4
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,4019,15981,5293,14707,0.2697188355312266,0.4454940487436236,0.0737063983137281,0.1475502158813591,all,1084.0,2358.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1944,8013,2618,7339,0.2582304526748971,0.4491978609625668,0.0684016896034882,0.146761512542119,fn<0,502.0,1176.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,2736,8468,3872,7332,0.2134502923976608,0.4442148760330578,0.0796508456082924,0.2031176192725555,fn<0_inferred,584.0,1720.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,2075,7968,2675,7368,0.2804819277108433,0.4418691588785047,0.0789902280130293,0.1483433734939759,fn>=0,582.0,1182.0,1.0,0.5
